V1-form,I1-form,V1,I1
0,2.87E-09,0,1.22E-07
0.02,2.93E-09,-0.02,-1.46E-05
0.04,6.31E-09,-0.04,-2.93E-05
0.06,-7.48E-10,-0.06,-4.43E-05
0.08,-6.94E-09,-0.08,-5.89E-05
0.1,-5.06E-09,-0.1,-7.39E-05
0.12,2.08E-09,-0.12,-8.85E-05
0.14,6.34E-09,-0.14,-0.00010364
0.16,7.52E-10,-0.16,-0.00011838
0.18,-6.50E-09,-0.18,-0.00013236
0.2,-4.41E-09,-0.2,-0.00014896
0.22,2.65E-09,-0.22,-0.00016296
0.24,6.36E-09,-0.24,-0.00017878
0.26,-7.40E-12,-0.26,-0.0001942
0.28,-6.89E-09,-0.28,-0.00021022
0.3,-6.00E-09,-0.3,-0.00022566
0.32,1.13E-09,-0.32,-0.0002401
0.34,6.65E-09,-0.34,-0.00025612
0.36,4.64E-09,-0.36,-0.00027214
0.38,-2.52E-09,-0.38,-0.00028746
0.4,-6.33E-09,-0.4,-0.00030578
0.42,-7.72E-11,-0.42,-0.00032124
0.44,6.89E-09,-0.44,-0.00033408
0.46,4.86E-09,-0.46,-0.00035108
0.48,-2.22E-09,-0.48,-0.00036648
0.5,-6.32E-09,-0.5,-0.00039062
0.52,-4.11E-10,-0.52,-0.00043314
0.54,6.60E-09,-0.54,-0.00045692
0.56,6.27E-09,-0.56,-0.0004781
0.58,-7.15E-10,-0.58,-0.00051622
0.6,-6.98E-09,-0.6,-0.00060322
0.62,-5.22E-09,-0.62,-0.00064296
0.64,1.84E-09,-0.64,-0.0006826
0.66,6.38E-09,-0.66,-0.0007137
0.68,8.44E-10,-0.68,-0.00074916
0.7,-6.37E-09,-0.7,-0.0007793
0.72,-4.65E-09,-0.72,-0.00079856
0.74,2.29E-09,-0.74,-0.00080834
0.76,6.34E-09,-0.76,-0.00077012
0.78,1.45E-10,-0.78,-0.00066712
0.8,-6.82E-09,-0.8,-0.00054468
0.82,-5.98E-09,-0.82,-0.00051044
0.84,8.94E-10,-0.84,-0.00047132
0.86,6.61E-09,-0.86,-0.00044154
0.88,4.70E-09,-0.88,-0.00040426
0.9,-2.31E-09,-0.9,-0.00041496
0.92,-6.33E-09,-0.92,-0.00023946
0.94,-1.59E-10,-0.94,-0.00020706
0.96,6.85E-09,-0.96,-0.00016182
0.98,5.95E-09,-0.98,-0.00016194
1,-9.79E-10,-1,-0.00014126
1.02,-6.19E-09,-1.02,-0.00015336
1.04,-4.48E-09,-1.04,-0.00017098
1.06,2.47E-09,-1.06,-0.00017306
1.08,6.36E-09,-1.08,-0.00022502
1.1,-1.17E-10,-1.1,-0.0001942
1.12,-7.03E-09,-1.12,-0.00021222
1.14,-5.59E-09,-1.14,-0.00016018
1.16,1.55E-09,-1.16,-0.0001625
1.18,6.50E-09,-1.18,-0.0001614
1.2,4.52E-09,-1.2,-0.00018672
1.22,-2.49E-09,-1.22,-0.00014778
1.24,-6.34E-09,-1.24,-0.00015514
1.26,9.03E-11,-1.26,-0.00016108
1.28,6.92E-09,-1.28,-0.00016018
1.3,5.93E-09,-1.3,-0.00021276
1.32,-9.21E-10,-1.32,-0.00019152
1.34,-6.63E-09,-1.34,-0.00020628
1.36,-4.60E-09,-1.36,-0.00016476
1.38,2.35E-09,-1.38,-0.00015452
1.4,6.34E-09,-1.4,-0.00016094
1.42,6.08E-11,-1.42,-0.0001708
1.44,-6.93E-09,-1.44,-0.00017492
1.46,-5.91E-09,-1.46,-0.00018974
1.48,1.02E-09,-1.48,-0.00019546
1.5,6.68E-09,-1.5,-0.00019952
1.52,4.82E-09,-1.52,-0.00016644
1.54,-2.34E-09,-1.54,-0.0001649
1.56,-6.33E-09,-1.56,-0.00016436
1.58,-6.83E-11,-1.58,-0.00016606
1.6,6.97E-09,-1.6,-0.00017308
1.62,5.71E-09,-1.62,-0.00016654
1.64,-1.46E-09,-1.64,-0.00018786
1.66,-6.59E-09,-1.66,-0.00019934
1.68,-4.46E-09,-1.68,-0.00021832
1.7,2.43E-09,-1.7,-0.00021888
1.72,6.34E-09,-1.72,-0.00021954
1.74,5.08E-11,-1.74,-0.00024
1.76,-6.86E-09,-1.76,-0.00025818
1.78,-6.03E-09,-1.78,-0.00024384
1.8,1.03E-09,-1.8,-0.0002393
1.82,6.68E-09,-1.82,-0.00030188
1.84,4.85E-09,-1.84,-0.00031802
1.86,-2.20E-09,-1.86,-0.00027964
1.88,-6.33E-09,-1.88,-0.0002596
1.9,-6.69E-10,-1.9,-0.00026294
1.92,6.45E-09,-1.92,-0.00028582
1.94,4.58E-09,-1.94,-0.00032042
1.96,-2.51E-09,-1.96,-0.00030146
1.98,-6.33E-09,-1.98,-0.00031938
2,-4.69E-11,-2,-0.0003531
2.02,6.90E-09,-2,-0.00032732
2.04,5.86E-09,-1.98,-0.00030644
2.06,-1.53E-09,-1.96,-0.00029874
2.08,-6.48E-09,-1.94,-0.00030518
2.1,-1.05E-09,-1.92,-0.00029506
2.12,6.30E-09,-1.9,-0.00028454
2.14,4.67E-09,-1.88,-0.00027472
2.16,-6.33E-11,-1.86,-0.00027312
2.18,-7.00E-09,-1.84,-0.00026376
2.2,-4.68E-09,-1.82,-0.00025598
2.22,2.43E-09,-1.8,-0.00025332
2.24,6.38E-09,-1.78,-0.00024298
2.26,-1.99E-10,-1.76,-0.0002397
2.28,-7.01E-09,-1.74,-0.00023406
2.3,-5.91E-09,-1.72,-0.0002289
2.32,1.44E-09,-1.7,-0.00022424
2.34,6.48E-09,-1.68,-0.0002192
2.36,6.30E-09,-1.66,-0.00021406
2.38,4.74E-09,-1.64,-0.00021076
2.4,-2.43E-09,-1.62,-0.00020744
2.42,-6.57E-09,-1.6,-0.00020312
2.44,-4.42E-09,-1.58,-0.0002001
2.46,2.60E-09,-1.56,-0.0001993
2.48,6.36E-09,-1.54,-0.00019436
2.5,1.49E-10,-1.52,-0.0001907
2.52,-6.88E-09,-1.5,-0.00018902
2.54,-5.85E-09,-1.48,-0.00018548
2.56,1.41E-09,-1.46,-0.00018152
2.58,6.56E-09,-1.44,-0.00017836
2.6,4.70E-09,-1.42,-0.00017388
2.62,-2.34E-09,-1.4,-0.0001695
2.64,-6.31E-09,-1.38,-0.00016488
2.66,-4.43E-10,-1.36,-0.00016288
2.68,6.58E-09,-1.34,-0.00015638
2.7,6.32E-09,-1.32,-0.00015262
2.72,-6.45E-10,-1.3,-0.00015086
2.74,-6.91E-09,-1.28,-0.00014586
2.76,-5.22E-09,-1.26,-0.00014002
2.78,1.89E-09,-1.24,-0.00013666
2.8,6.36E-09,-1.22,-0.0001346
2.82,8.37E-10,-1.2,-0.00013132
2.84,-6.36E-09,-1.18,-0.00012782
2.86,-4.49E-09,-1.16,-0.00012476
2.88,2.57E-09,-1.14,-0.00012168
2.9,6.37E-09,-1.12,-0.00011968
2.92,9.74E-11,-1.1,-0.00011552
2.94,-6.82E-09,-1.08,-0.00011266
2.96,-5.91E-09,-1.06,-0.00010982
2.98,1.23E-09,-1.04,-0.00010682
3,6.67E-09,-1.02,-0.00010428
3.02,4.74E-09,-1,-0.00010138
3.04,-2.28E-09,-0.98,-9.79E-05
3.06,-6.29E-09,-0.96,-9.57E-05
3.08,-2.83E-10,-0.94,-9.30E-05
3.1,6.70E-09,-0.92,-9.04E-05
3.12,6.14E-09,-0.9,-8.77E-05
3.14,-1.14E-09,-0.88,-8.46E-05
3.16,-6.62E-09,-0.86,-8.12E-05
3.18,-4.54E-09,-0.84,-7.86E-05
3.2,2.55E-09,-0.82,-7.58E-05
3.22,6.37E-09,-0.8,-7.33E-05
3.24,5.17E-09,-0.78,-7.01E-05
3.26,-1.73E-09,-0.76,-6.76E-05
3.28,-6.30E-09,-0.74,-6.51E-05
3.3,-7.38E-10,-0.72,-6.26E-05
3.32,6.43E-09,-0.7,-6.01E-05
3.34,4.46E-09,-0.68,-5.75E-05
3.36,-2.66E-09,-0.66,-5.51E-05
3.38,-6.34E-09,-0.64,-5.26E-05
3.4,6.48E-10,-0.62,-4.82E-05
3.42,6.86E-09,-0.6,-4.60E-05
3.44,5.24E-09,-0.58,-4.40E-05
3.46,-1.91E-09,-0.56,-4.07E-05
3.48,-6.33E-09,-0.54,-3.89E-05
3.5,-8.01E-10,-0.52,-3.62E-05
3.52,6.46E-09,-0.5,-3.41E-05
3.54,4.62E-09,-0.48,-3.22E-05
3.56,-2.38E-09,-0.46,-3.05E-05
3.58,-6.28E-09,-0.44,-2.92E-05
3.6,-3.68E-10,-0.42,-2.67E-05
3.62,6.65E-09,-0.4,-2.45E-05
3.64,6.30E-09,-0.38,-2.28E-05
3.66,-6.68E-10,-0.36,-2.18E-05
3.68,-6.85E-09,-0.34,-2.00E-05
3.7,-4.94E-09,-0.32,-1.86E-05
3.72,2.08E-09,-0.3,-1.71E-05
3.74,6.38E-09,-0.28,-1.52E-05
3.76,7.70E-10,-0.26,-1.32E-05
3.78,-5.59E-09,-0.24,-1.17E-05
3.8,-5.11E-09,-0.22,-1.06E-05
3.82,1.95E-09,-0.2,-9.33E-06
3.84,6.41E-09,-0.18,-8.41E-06
3.86,5.40E-09,-0.16,-7.25E-06
3.88,-2.14E-09,-0.14,-6.16E-06
3.9,-6.25E-09,-0.12,-5.27E-06
3.92,-3.55E-10,-0.1,-4.25E-06
3.94,6.80E-09,-0.08,-3.40E-06
3.96,6.10E-09,-0.06,-2.43E-06
