 V1, I1
0,1.22E-07
-0.02,-1.46E-05
-0.04,-2.93E-05
-0.06,-4.43E-05
-0.08,-5.89E-05
-0.1,-7.39E-05
-0.12,-8.85E-05
-0.14,-0.00010364
-0.16,-0.00011838
-0.18,-0.00013236
-0.2,-0.00014896
-0.22,-0.00016296
-0.24,-0.00017878
-0.26,-0.0001942
-0.28,-0.00021022
-0.3,-0.00022566
-0.32,-0.0002401
-0.34,-0.00025612
-0.36,-0.00027214
-0.38,-0.00028746
-0.4,-0.00030578
-0.42,-0.00032124
-0.44,-0.00033408
-0.46,-0.00035108
-0.48,-0.00036648
-0.5,-0.00039062
-0.52,-0.00043314
-0.54,-0.00045692
-0.56,-0.0004781
-0.58,-0.00051622
-0.6,-0.00060322
-0.62,-0.00064296
-0.64,-0.0006826
-0.66,-0.0007137
-0.68,-0.00074916
-0.7,-0.0007793
-0.72,-0.00079856
-0.74,-0.00080834
-0.76,-0.00077012
-0.78,-0.00066712
-0.8,-0.00054468
-0.82,-0.00051044
-0.84,-0.00047132
-0.86,-0.00044154
-0.88,-0.00040426
-0.9,-0.00041496
-0.92,-0.00023946
-0.94,-0.00020706
-0.96,-0.00016182
-0.98,-0.00016194
-1,-0.00014126
-1.02,-0.00015336
-1.04,-0.00017098
-1.06,-0.00017306
-1.08,-0.00022502
-1.1,-0.0001942
-1.12,-0.00021222
-1.14,-0.00016018
-1.16,-0.0001625
-1.18,-0.0001614
-1.2,-0.00018672
-1.22,-0.00014778
-1.24,-0.00015514
-1.26,-0.00016108
-1.28,-0.00016018
-1.3,-0.00021276
-1.32,-0.00019152
-1.34,-0.00020628
-1.36,-0.00016476
-1.38,-0.00015452
-1.4,-0.00016094
-1.42,-0.0001708
-1.44,-0.00017492
-1.46,-0.00018974
-1.48,-0.00019546
-1.5,-0.00019952
-1.52,-0.00016644
-1.54,-0.0001649
-1.56,-0.00016436
-1.58,-0.00016606
-1.6,-0.00017308
-1.62,-0.00016654
-1.64,-0.00018786
-1.66,-0.00019934
-1.68,-0.00021832
-1.7,-0.00021888
-1.72,-0.00021954
-1.74,-0.00024
-1.76,-0.00025818
-1.78,-0.00024384
-1.8,-0.0002393
-1.82,-0.00030188
-1.84,-0.00031802
-1.86,-0.00027964
-1.88,-0.0002596
-1.9,-0.00026294
-1.92,-0.00028582
-1.94,-0.00032042
-1.96,-0.00030146
-1.98,-0.00031938
-2,-0.0003531
-2,-0.00032732
-1.98,-0.00030644
-1.96,-0.00029874
-1.94,-0.00030518
-1.92,-0.00029506
-1.9,-0.00028454
-1.88,-0.00027472
-1.86,-0.00027312
-1.84,-0.00026376
-1.82,-0.00025598
-1.8,-0.00025332
-1.78,-0.00024298
-1.76,-0.0002397
-1.74,-0.00023406
-1.72,-0.0002289
-1.7,-0.00022424
-1.68,-0.0002192
-1.66,-0.00021406
-1.64,-0.00021076
-1.62,-0.00020744
-1.6,-0.00020312
-1.58,-0.0002001
-1.56,-0.0001993
-1.54,-0.00019436
-1.52,-0.0001907
-1.5,-0.00018902
-1.48,-0.00018548
-1.46,-0.00018152
-1.44,-0.00017836
-1.42,-0.00017388
-1.4,-0.0001695
-1.38,-0.00016488
-1.36,-0.00016288
-1.34,-0.00015638
-1.32,-0.00015262
-1.3,-0.00015086
-1.28,-0.00014586
-1.26,-0.00014002
-1.24,-0.00013666
-1.22,-0.0001346
-1.2,-0.00013132
-1.18,-0.00012782
-1.16,-0.00012476
-1.14,-0.00012168
-1.12,-0.00011968
-1.1,-0.00011552
-1.08,-0.00011266
-1.06,-0.00010982
-1.04,-0.00010682
-1.02,-0.00010428
-1,-0.00010138
-0.98,-9.79E-05
-0.96,-9.57E-05
-0.94,-9.30E-05
