File Name,Corresponding Data Point,Maximum Subtraction,,,cov,,
"[A7-02-4um-08,Forming,50,9_3_2024 2_08_02 PM].csv",7.9,0.000499886,6.487333333,2.08335296,0.321141654,9.98,0.62
"[A7-02-4um-09,Forming,49,9_3_2024 2_07_21 PM].csv",9.98,9.25E-09,,,,,
"[A7-02-4um-10,Forming,48,9_3_2024 2_06_31 PM].csv",8.38,0.000499846,,,,,
"[A7-02-4um-11,Forming,47,9_3_2024 2_05_53 PM].csv",3.08,8.76E-09,,,,,
"[A7-02-4um-12,Forming,46,9_3_2024 2_04_10 PM].csv",5.74,0.000499973,,,,,
"[A8-01-4um-01,Forming,28,9_3_2024 1_27_45 PM].csv",5.1,0.000499407,,,,,
"[A8-01-4um-02,Forming,29,9_3_2024 1_29_57 PM].csv",4,0.000499376,,,,,
"[A8-01-4um-03,Forming,30,9_3_2024 1_33_02 PM].csv",5.44,0.000499691,,,,,
"[A8-01-4um-04,Forming,31,9_3_2024 1_35_55 PM].csv",5.04,0.00049979,,,,,
"[A8-01-4um-05,Forming,32,9_3_2024 1_38_56 PM].csv",5.32,0.000499834,,,,,
"[A8-01-4um-06,Forming,33,9_3_2024 1_41_42 PM].csv",4.1,0.000499972,,,,,
"[A8-01-4um-07,Forming,34,9_3_2024 1_43_13 PM].csv",8.78,0.000499961,,,,,
"[A8-01-4um-08,Forming,35,9_3_2024 1_44_41 PM].csv",6.18,0.000499853,,,,,
"[A8-01-4um-10,Forming,36,9_3_2024 1_45_51 PM].csv",0.62,8.63E-09,,,,,
"[A8-01-4um-11,Forming,37,9_3_2024 1_46_27 PM].csv",4.08,0.000499966,,,,,
"[B6-04-4um-01,Forming,38,9_3_2024 1_48_29 PM].csv",8.24,0.000499959,,,,,
"[B6-04-4um-02,Forming,39,9_3_2024 1_49_09 PM].csv",4.88,0.000499745,,,,,
"[B6-04-4um-03,Forming,40,9_3_2024 1_51_57 PM].csv",5.38,0.000499944,,,,,
"[B6-04-4um-04,Forming,41,9_3_2024 1_56_00 PM].csv",8.14,0.000499966,,,,,
"[B6-04-4um-05,Forming,42,9_3_2024 1_57_13 PM].csv",8.24,0.000499897,,,,,
"[B6-04-4um-06,Forming,43,9_3_2024 1_58_05 PM].csv",8.26,0.000499825,,,,,
"[B6-04-4um-07,Forming,44,9_3_2024 1_59_05 PM].csv",5.9,4.13E-09,,,,,
"[B6-04-4um-08,Forming,45,9_3_2024 2_01_55 PM].csv",9.96,1.18E-08,,,,,
"[D2-01-4um-01,Forming,51,9_3_2024 2_11_50 PM].csv",7.74,0.000498993,,,,,
"[D2-01-4um-02,Forming,52,9_3_2024 2_12_39 PM].csv",8.52,0.000499921,,,,,
"[D2-01-4um-03,Forming,53,9_3_2024 2_13_15 PM].csv",7.28,0.000499566,,,,,
"[D2-01-4um-04,Forming,54,9_3_2024 2_13_53 PM].csv",6.92,0.000499976,,,,,
"[D2-01-4um-05,Forming,55,9_3_2024 2_14_40 PM].csv",7.44,8.12E-09,,,,,
"[D2-01-4um-06,Forming,56,9_3_2024 2_15_19 PM].csv",6.7,0.000499994,,,,,
"[D2-01-4um-07,Forming,57,9_3_2024 2_16_07 PM].csv",7.28,0.000500005,,,,,
