File Name,Corresponding Data Point,Maximum Subtraction
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_11 PM].csv",0.725,0.00020187200000000002
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_18 PM].csv",0.75,0.00013882
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_28 PM].csv",5.0,1.84278e-08
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_39 PM].csv",2.975,1.77334e-08
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_49 PM].csv",4.8500000000000005,1.2366e-07
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_08_59 PM].csv",4.0,2.41e-07
"[A7-02-4um-08,SET-RESET,50,9_3_2024 2_09_09 PM].csv",4.775,2.11372e-08
"[A7-02-4um-10,SET-RESET,48,9_3_2024 2_06_40 PM].csv",0.15,6.0400000000000004e-05
"[A7-02-4um-10,SET-RESET,48,9_3_2024 2_06_46 PM].csv",0.1,5.796000000000002e-05
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_19 PM].csv",0.15,8.073999999999999e-05
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_26 PM].csv",0.15,7.529999999999999e-05
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_32 PM].csv",0.45,4.666000000000002e-05
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_39 PM].csv",1.325,0.0004978362
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_46 PM].csv",4.55,0.0004998108
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_04_55 PM].csv",0.1,8.942e-05
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_05_03 PM].csv",4.95,0.00049935098
"[A7-02-4um-12,SET-RESET,46,9_3_2024 2_05_11 PM].csv",4.775,0.0004998409599999999
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_27_57 PM].csv",4.9750000000000005,0.0004998524
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_06 PM].csv",4.875,0.00049964056
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_14 PM].csv",4.8500000000000005,0.0004995194
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_22 PM].csv",2.1,0.00049926438
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_30 PM].csv",4.9750000000000005,0.00049981032
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_38 PM].csv",4.2,0.00049975536
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_48 PM].csv",5.0,2.14858e-08
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_28_59 PM].csv",4.95,2.2189400000000003e-08
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_29_08 PM].csv",4.925,1.8627200000000003e-08
"[A8-01-4um-01,SET-RESET,28,9_3_2024 1_29_18 PM].csv",4.8500000000000005,2.1641799999999992e-08
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_07 PM].csv",3.975,0.0004999905752
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_14 PM].csv",0.6,0.00037823999999999996
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_20 PM].csv",0.625,0.00024665200000000004
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_26 PM].csv",0.725,0.00024551999999999994
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_32 PM].csv",0.625,0.00019683799999999996
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_39 PM].csv",3.4250000000000003,0.000499982889
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_45 PM].csv",0.625,0.00019539200000000002
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_51 PM].csv",0.575,0.000437332
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_30_58 PM].csv",0.7,0.00031168
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_04 PM].csv",0.7,0.00014366
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_11 PM].csv",0.725,0.00018822
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_17 PM].csv",0.725,0.00023306000000000002
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_23 PM].csv",0.75,0.000469926
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_29 PM].csv",0.8,0.0004611
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_35 PM].csv",0.7,0.00047368999999999997
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_41 PM].csv",0.775,0.000470098
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_47 PM].csv",0.8,0.00022796999999999997
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_53 PM].csv",0.85,0.00023956
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_31_59 PM].csv",0.85,0.00016202000000000002
"[A8-01-4um-02,SET-RESET,29,9_3_2024 1_32_06 PM].csv",0.8,0.00046552999999999997
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_13 PM].csv",4.075,0.000500007116
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_19 PM].csv",0.6,0.00023437399999999998
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_24 PM].csv",0.55,0.00010190000000000001
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_31 PM].csv",0.65,0.000280014
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_37 PM].csv",0.775,0.00014356000000000004
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_45 PM].csv",0.75,0.00020716000000000002
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_51 PM].csv",0.8,0.00015146000000000002
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_33_58 PM].csv",0.65,0.00023873800000000003
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_04 PM].csv",0.675,0.000458298
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_10 PM].csv",0.675,0.000397892
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_17 PM].csv",0.775,0.00031484
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_23 PM].csv",0.6,0.00043756999999999997
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_29 PM].csv",0.725,0.00039632999999999997
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_35 PM].csv",0.6,0.00029995
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_41 PM].csv",0.775,0.00031998
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_47 PM].csv",0.775,0.00022869999999999998
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_34_54 PM].csv",0.825,0.00028134000000000004
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_35_00 PM].csv",0.725,0.00046534399999999997
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_35_07 PM].csv",0.725,0.00035813999999999996
"[A8-01-4um-03,SET-RESET,30,9_3_2024 1_35_13 PM].csv",0.85,0.00015816000000000002
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_07 PM].csv",4.325,0.00049986846
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_14 PM].csv",2.15,0.0004939313
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_22 PM].csv",2.875,0.0004993008
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_29 PM].csv",3.65,0.00049969366
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_35 PM].csv",3.0,0.0004982147
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_42 PM].csv",0.15,7.225999999999999e-05
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_48 PM].csv",0.15,7.823999999999998e-05
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_36_56 PM].csv",3.0,0.0004987706
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_02 PM].csv",0.6,0.000279116
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_08 PM].csv",0.825,0.000481776
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_15 PM].csv",0.825,0.00016364
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_21 PM].csv",0.85,0.00016882000000000003
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_28 PM].csv",0.8,0.00031375999999999995
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_34 PM].csv",0.825,0.00026639999999999997
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_40 PM].csv",0.875,0.00015996
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_46 PM].csv",0.675,0.0001687313
"[A8-01-4um-04,SET-RESET,31,9_3_2024 1_37_52 PM].csv",0.675,0.000183822
