File Name,Corresponding Data Point,Maximum Subtraction,MEAN,STDV,COV
"[A7-4-10um-01,Forming,1,7_24_2024 11_32_01 AM].csv",0.66,2.28E-05,4.892692308,1.894437318,0.387197314
"[A7-4-10um-01,Forming,1,7_24_2024 11_32_25 AM].csv",0.66,0.00020672,,,
"[A8-1-4um-02,Forming,2,7_24_2024 11_35_50 AM].csv",5.94,0.000499976,,,
"[A8-1-4um-03,Forming,3,7_24_2024 11_39_03 AM].csv",5.54,0.000499985,,,
"[A8-1-4um-04,Forming,4,7_24_2024 11_42_10 AM].csv",5.7,0.000500013,,,
"[A8-1-4um-05,Forming,5,7_24_2024 11_45_20 AM].csv",5.94,0.000499916,,,
"[A8-1-4um-06,Forming,6,7_24_2024 11_48_48 AM].csv",5.88,0.000499949,,,
"[A8-1-4um-07,Forming,7,7_24_2024 11_52_41 AM].csv",5.56,0.000499959,,,
"[A8-1-4um-08,Forming,8,7_24_2024 11_56_16 AM].csv",1.22,0.00020156,,,
"[A8-1-4um-09,Forming,9,7_24_2024 11_59_55 AM].csv",1.78,0.000493076,,,
"[A8-1-4um-10,Forming,10,7_24_2024 12_04_08 PM].csv",5.74,0.000500021,,,
"[A8-1-4um-11,Forming,11,7_24_2024 12_08_02 PM].csv",6.16,0.000499947,,,
"[A8-1-4um-12,Forming,12,7_24_2024 12_11_37 PM].csv",2.34,0.00020226,,,
"[B6-01-4um-01,Forming,1,7_25_2024 10_32_02 AM].csv",6.06,0.000499425,,,
"[B6-01-4um-02,Forming,2,7_25_2024 10_46_33 AM].csv",5.7,0.000499956,,,
"[B6-01-4um-03,Forming,3,7_25_2024 11_02_17 AM].csv",6.04,0.000499961,,,
"[B6-01-4um-04,Forming,4,7_25_2024 11_15_32 AM].csv",5.7,0.000499936,,,
"[B6-01-4um-05,Forming,5,7_25_2024 11_22_24 AM].csv",6.18,0.000499983,,,
"[B6-01-4um-06,Forming,6,7_25_2024 11_29_49 AM].csv",1.92,0.00024928,,,
"[B6-01-4um-07,Forming,7,7_25_2024 11_36_47 AM].csv",5.8,0.000499967,,,
"[B6-01-4um-08,Forming,8,7_25_2024 11_42_26 AM].csv",6.1,0.000499999,,,
"[B6-01-4um-09,Forming,9,7_25_2024 11_47_57 AM].csv",6.02,0.000499953,,,
"[B6-01-4um-10,Forming,10,7_25_2024 11_52_39 AM].csv",6.02,0.000499964,,,
"[B6-01-4um-11,Forming,11,7_25_2024 11_56_19 AM].csv",5.88,0.000499976,,,
"[B6-01-4um-12,Forming,12,7_25_2024 12_00_14 PM].csv",6.14,0.000499914,,,
"[B6-02-4um-01,Forming,13,7_25_2024 12_12_00 PM].csv",5.96,0.000499969,,,
"[B6-02-4um-02,Forming,14,7_25_2024 12_19_38 PM].csv",6.02,0.000499989,,,
"[B6-02-4um-03,Forming,15,7_25_2024 12_24_27 PM].csv",5.88,0.000499988,,,
"[B6-02-4um-04,Forming,16,7_25_2024 12_28_18 PM].csv",5.74,0.000499953,,,
"[B6-02-4um-05,Forming,17,7_25_2024 12_33_32 PM].csv",6.06,0.000499981,,,
"[B6-02-4um-06,Forming,18,7_25_2024 12_38_08 PM].csv",5.64,0.000499989,,,
"[B6-02-4um-07,Forming,19,7_25_2024 12_41_39 PM].csv",6.04,0.000499997,,,
"[B6-02-4um-08,Forming,20,7_25_2024 12_47_26 PM].csv",5.84,0.0005,,,
"[B6-02-4um-09,Forming,21,7_25_2024 12_51_57 PM].csv",6.1,0.00049995,,,
"[B6-02-4um-10,Forming,22,7_25_2024 12_58_30 PM].csv",5.94,0.000499861,,,
"[B6-02-4um-11,Forming,23,7_25_2024 1_08_58 PM].csv",6.06,0.000499974,,,
"[B6-02-4um-12,Forming,24,7_25_2024 1_12_31 PM].csv",6.14,0.000499985,,,
"[C3-2-4um-01,Forming,13,7_24_2024 12_42_06 PM].csv",5.74,0.000499987,,,
"[C3-2-4um-02,Forming,14,7_24_2024 1_07_50 PM].csv",1.56,6.52E-05,,,
"[C3-2-4um-03,Forming,15,7_24_2024 1_34_16 PM].csv",5.52,0.000499993,,,
"[C3-2-4um-04,Forming,16,7_24_2024 1_38_17 PM].csv",6.1,0.000499975,,,
"[C3-2-4um-05,Forming,17,7_24_2024 1_43_05 PM].csv",5.96,0.000499985,,,
"[C3-2-4um-06,Forming,18,7_24_2024 1_48_42 PM].csv",6.04,0.000499958,,,
"[C3-2-4um-07,Forming,19,7_24_2024 2_05_41 PM].csv",0.18,4.12E-05,,,
"[C3-2-4um-08,Forming,20,7_24_2024 2_11_44 PM].csv",1.04,3.79E-05,,,
"[C3-2-4um-09,Forming,21,7_24_2024 2_13_45 PM].csv",5.72,0.000499968,,,
"[C3-2-4um-10,Forming,22,7_24_2024 2_42_22 PM].csv",5.92,0.000499961,,,
"[C3-2-4um-11,Forming,23,7_24_2024 2_46_19 PM].csv",2.32,0.000496406,,,
"[C3-2-4um-12,Forming,24,7_24_2024 2_50_01 PM].csv",1.16,3.80E-05,,,
"[D1-1-4um-10,Forming,27,7_24_2024 2_59_43 PM].csv",3.6,0.000497948,,,
"[D1-1-4um-11,Forming,26,7_24_2024 2_56_31 PM].csv",5.74,0.000499982,,,
"[D1-1-4um-12,Forming,25,7_24_2024 2_53_15 PM].csv",5.72,0.000499983,,,
