File Name,Corresponding Data Point,Maximum Subtraction,,STDV,
"[C2-1-4um-01,Forming,38,7_19_2024 5_18_58 PM].csv",4.3,0.0029654,3.628947368,0.723356417,0.199329542
"[C2-1-4um-02,Forming,39,7_19_2024 5_32_36 PM].csv",3.54,0.0024698,,,
"[C2-1-4um-03,Forming,40,7_19_2024 5_36_19 PM].csv",3.52,0.0025144,,,
"[C2-1-4um-04,Forming,41,7_19_2024 5_40_51 PM].csv",3.48,0.0024388,,,
"[C2-1-4um-05,Forming,42,7_19_2024 5_42_54 PM].csv",4.04,0.0024776,,,
"[C2-1-4um-06,Forming,43,7_19_2024 5_46_11 PM].csv",3.48,0.0024408,,,
"[C2-1-4um-07,Forming,44,7_19_2024 5_50_15 PM].csv",3.46,0.0026424,,,
"[C2-2-4um-01,Forming,27,7_19_2024 4_29_01 PM].csv",3.84,0.003093,,,
"[C2-2-4um-02,Forming,28,7_19_2024 4_32_40 PM].csv",3.5,0.0024592,,,
"[C2-2-4um-03,Forming,29,7_19_2024 4_36_15 PM].csv",3.5,0.0025518,,,
"[C2-2-4um-04,Forming,30,7_19_2024 4_39_36 PM].csv",3.5,0.0025594,,,
"[C2-2-4um-05,Forming,31,7_19_2024 4_42_57 PM].csv",3.48,0.0026088,,,
"[C2-2-4um-06,Forming,32,7_19_2024 4_47_14 PM].csv",3.5,0.0024848,,,
"[C2-2-4um-07,Forming,33,7_19_2024 4_50_34 PM].csv",3.5,0.0023758,,,
"[C2-2-4um-08,Forming,34,7_19_2024 4_54_41 PM].csv",3.48,0.0016196,,,
"[C2-2-4um-10,Forming,35,7_19_2024 5_00_07 PM].csv",3.5,0.0025048,,,
"[C2-2-4um-11,Forming,36,7_19_2024 5_04_19 PM].csv",3.52,0.0025972,,,
"[C2-2-4um-12,Forming,37,7_19_2024 5_15_42 PM].csv",4.1,0.0026554,,,
"[C3-1-4um-01,Forming,1,7_19_2024 1_10_12 PM].csv",3.81,0.0002906,,,
"[C3-1-4um-02,Forming,1,7_19_2024 1_22_50 PM].csv",2.82,3.32E-05,,,
"[C3-1-4um-02,Forming,1,7_19_2024 1_23_37 PM].csv",3.51,0.0001792,,,
"[C3-1-4um-02,Forming,2,7_19_2024 1_23_07 PM].csv",3.39,0.0001236,,,
"[C3-1-4um-02,Forming,2,7_19_2024 1_23_58 PM].csv",3.68,0.0015734,,,
"[C3-1-4um-03,Forming,1,7_19_2024 1_30_59 PM].csv",3.52,0.0015346,,,
"[C3-1-4um-04,Forming,1,7_19_2024 1_46_04 PM].csv",3.52,0.0024916,,,
"[C3-1-4um-05,Forming,1,7_19_2024 1_59_18 PM].csv",3.84,0.0024806,,,
"[C3-1-4um-05,Forming,2,7_19_2024 2_00_15 PM].csv",0.82,0.00037346,,,
"[C3-1-4um-06,Forming,3,7_19_2024 2_40_20 PM].csv",3.84,0.0025224,,,
"[C3-1-4um-07,Forming,4,7_19_2024 2_47_41 PM].csv",4.42,0.00335,,,
"[C3-1-4um-08,Forming,2,7_19_2024 2_48_46 PM].csv",3.96,0.0025658,,,
"[C3-1-4um-09,Forming,3,7_19_2024 2_49_35 PM].csv",3.88,0.002526,,,
"[C3-1-4um-10,Forming,1,7_19_2024 2_50_50 PM].csv",5.46,0.001995105,,,
"[C3-1-4um-11,Forming,2,7_19_2024 2_51_56 PM].csv",4.1,0.004994924,,,
"[D1-1-4um-01,Forming,3,7_19_2024 2_53_39 PM].csv",5.14,0.0036078,,,
"[D1-1-4um-01,Forming,4,7_19_2024 3_00_07 PM].csv",0.28,8.88E-05,,,
"[D1-1-4um-02,Forming,5,7_19_2024 3_00_54 PM].csv",3.52,0.002617,,,
"[D1-1-4um-03,Forming,6,7_19_2024 3_10_14 PM].csv",3.52,0.0027218,,,
"[D1-1-4um-04,Forming,7,7_19_2024 3_14_00 PM].csv",3.52,0.0026316,,,
"[D1-1-4um-05,Forming,8,7_19_2024 3_17_13 PM].csv",3.52,0.00269,,,
"[D1-1-4um-06,Forming,9,7_19_2024 3_21_13 PM].csv",3.52,0.002612,,,
"[D1-1-4um-07,Forming,10,7_19_2024 3_25_39 PM].csv",3.52,0.0026342,,,
"[D1-1-4um-08,Forming,11,7_19_2024 3_28_47 PM].csv",3.52,0.00273,,,
"[D1-1-4um-09,Forming,12,7_19_2024 3_34_39 PM].csv",3.86,0.0028308,,,
"[D1-1-4um-10,Forming,13,7_19_2024 3_38_02 PM].csv",3.84,0.0026264,,,
"[D1-1-4um-11,Forming,14,7_19_2024 3_41_03 PM].csv",4.24,0.0045788,,,
"[D1-2-4um-01,Forming,15,7_19_2024 3_49_26 PM].csv",4.5,0.004903748,,,
"[D1-2-4um-02,Forming,16,7_19_2024 3_52_28 PM].csv",3.96,0.0027478,,,
"[D1-2-4um-03,Forming,17,7_19_2024 3_53_16 PM].csv",3.92,0.0027486,,,
"[D1-2-4um-04,Forming,18,7_19_2024 3_56_53 PM].csv",3.5,0.0027328,,,
"[D1-2-4um-05,Forming,19,7_19_2024 4_00_14 PM].csv",3.5,0.0026964,,,
"[D1-2-4um-06,Forming,20,7_19_2024 4_03_13 PM].csv",3.5,0.002643,,,
"[D1-2-4um-07,Forming,21,7_19_2024 4_06_09 PM].csv",3.5,0.002742,,,
"[D1-2-4um-08,Forming,22,7_19_2024 4_09_44 PM].csv",4.08,0.002854,,,
"[D1-2-4um-09,Forming,23,7_19_2024 4_13_20 PM].csv",3.48,0.0028644,,,
"[D1-2-4um-10,Forming,24,7_19_2024 4_16_57 PM].csv",3.5,0.0026926,,,
"[D1-2-4um-11,Forming,25,7_19_2024 4_20_36 PM].csv",3.5,0.0027544,,,
"[D1-2-4um-12,Forming,26,7_19_2024 4_24_20 PM].csv",4.1,0.0028594,,,
