Data Points,CDF,,
4.02E-06,0.051282051,1.03E-01,0.051282051
4.10E-06,0.102564051,,0.102564051
4.12E-06,0.153846051,,0.153846051
4.16E-06,0.205128051,,0.205128051
4.26E-06,0.256410051,,0.256410051
4.31E-06,0.307692051,,0.307692051
4.32E-06,0.358974051,,0.358974051
4.39E-06,0.410256051,,0.410256051
4.41E-06,0.461538051,,0.461538051
4.59E-06,0.512820051,,0.512820051
4.61E-06,0.564102051,,0.564102051
4.85E-06,0.615384051,,0.615384051
4.91E-06,0.666666051,,0.666666051
4.92E-06,0.717948051,,0.717948051
4.94E-06,0.769230051,,0.769230051
5.04E-06,0.820512051,,0.820512051
5.10E-06,0.871794051,,0.871794051
5.20E-06,0.923076051,,0.923076051
5.41E-06,0.974358051,,0.974358051
5.84E-06,1.025640051,,1.025640051
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
