Data Points,CDF,
1.22E-04,0.051282,0.051282
1.36E-04,0.102564,0.102564
1.36E-04,0.153846,0.153846
1.39E-04,0.205128,0.205128
1.40E-04,0.25641,0.25641
1.41E-04,0.307692,0.307692
1.43E-04,0.358974,0.358974
1.44E-04,0.410256,0.410256
1.46E-04,0.461538,0.461538
1.46E-04,0.51282,0.51282
1.50E-04,0.564102,0.564102
1.51E-04,0.615384,0.615384
1.51E-04,0.666666,0.666666
1.53E-04,0.717948,0.717948
1.57E-04,0.76923,0.76923
1.67E-04,0.820512,0.820512
1.68E-04,0.871794,0.871794
1.72E-04,0.923076,0.923076
1.75E-04,0.974358,0.974358
1.80E-04,1.02564,1.02564
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
