DataValue,0.1,5.84E-06,,HRS,LRS
DataValue,0.1,4.02E-06,,5.84E-06,0.00012182
DataValue,0.1,4.10E-06,,4.02E-06,0.00013588
DataValue,0.1,4.12E-06,,4.10E-06,0.00013636
DataValue,0.1,4.16E-06,,4.12E-06,0.00013908
DataValue,0.1,4.26E-06,,4.16E-06,0.00013972
DataValue,0.1,4.31E-06,,4.26E-06,0.0001412
DataValue,0.1,4.32E-06,,4.31E-06,0.00014264
DataValue,0.1,4.39E-06,,4.32E-06,0.00014388
DataValue,0.1,4.41E-06,,4.39E-06,0.0001457
DataValue,0.1,4.59E-06,,4.41E-06,0.00014638
DataValue,0.1,4.61E-06,,4.59E-06,0.00015036
DataValue,0.1,4.85E-06,,4.61E-06,0.00015092
DataValue,0.1,4.91E-06,,4.85E-06,0.00015134
DataValue,0.1,4.92E-06,,4.91E-06,0.00015326
DataValue,0.1,4.94E-06,,4.92E-06,0.00015682
DataValue,0.1,5.04E-06,,4.94E-06,0.00016668
DataValue,0.1,5.10E-06,,5.04E-06,0.00016756
DataValue,0.1,5.20E-06,,5.10E-06,0.00017154
DataValue,0.1,5.41E-06,,5.20E-06,0.00017516
DataValue,0.1,0.00012182,,5.41E-06,0.00018012
DataValue,0.1,0.00013588,,,
DataValue,0.1,0.00013636,,,
DataValue,0.1,0.00013908,,,
DataValue,0.1,0.00013972,,,
DataValue,0.1,0.0001412,,,
DataValue,0.1,0.00014264,,,
DataValue,0.1,0.00014388,,,
DataValue,0.1,0.0001457,,,
DataValue,0.1,0.00014638,,,
DataValue,0.1,0.00015036,,,
DataValue,0.1,0.00015092,,,
DataValue,0.1,0.00015134,,,
DataValue,0.1,0.00015326,,,
DataValue,0.1,0.00015682,,,
DataValue,0.1,0.00016668,,,
DataValue,0.1,0.00016756,,,
DataValue,0.1,0.00017154,,,
DataValue,0.1,0.00017516,,,
DataValue,0.1,0.00018012,,,
