File Name,Corresponding Data Point,Maximum Subtraction,,,COV
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_08 PM].csv",0.95,0.00057124,1.004032958,0.249061546,0.248061126
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_14 PM].csv",1.125,0.0001938,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_21 PM].csv",1.275,0.000233,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_27 PM].csv",1.075,0.0001388,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_33 PM].csv",1.275,0.0001758,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_40 PM].csv",1.175,0.0006374,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_45 PM].csv",1.325,7.40E-05,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_53 PM].csv",1.025,0.0007253,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_59 PM].csv",1.325,0.000202,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_06 PM].csv",1.075,9.66E-05,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_13 PM].csv",1.3,8.62E-05,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_19 PM].csv",1.325,0.0003348,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_25 PM].csv",1.4,0.000172,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_31 PM].csv",1.375,0.0001414,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_37 PM].csv",1.25,0.0006048,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_44 PM].csv",1.275,0.0006026,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_51 PM].csv",1.45,0.000145,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_20_57 PM].csv",1.35,0.0001884,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_21_03 PM].csv",1.325,0.0001822,,,
"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_21_09 PM].csv",1.325,0.0001732,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_32_46 PM].csv",1.125,0.00147684,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_32_52 PM].csv",1,0.00146144,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_32_59 PM].csv",0.9,0.00095922,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_05 PM].csv",0.8,0.0003608,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_11 PM].csv",0.95,0.00112878,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_17 PM].csv",0.95,0.0012433,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_24 PM].csv",1.1,0.001484,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_30 PM].csv",1.025,0.00148134,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_36 PM].csv",0.925,0.0011776,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_42 PM].csv",0.95,0.0008629,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_49 PM].csv",1.075,0.00106026,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_33_55 PM].csv",1.05,0.00144484,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_01 PM].csv",1.075,0.00149112,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_07 PM].csv",1.1,0.00146188,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_14 PM].csv",1.05,0.00149118,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_20 PM].csv",1.175,0.00140054,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_26 PM].csv",1.075,0.00146166,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_32 PM].csv",1.025,0.00148494,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_39 PM].csv",0.975,0.00153212,,,
"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_45 PM].csv",0.975,0.0014797,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_28 PM].csv",1.2,0.00118438,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_34 PM].csv",0.825,0.000631552,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_40 PM].csv",1.025,0.00165102,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_46 PM].csv",1.1,0.00152398,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_53 PM].csv",0.975,0.00156796,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_59 PM].csv",1.075,0.00181606,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_06 PM].csv",1,0.00174776,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_12 PM].csv",1.075,0.0016287,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_19 PM].csv",1.075,0.00173524,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_25 PM].csv",0.925,0.00118658,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_31 PM].csv",1.075,0.00174314,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_38 PM].csv",1,0.00129224,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_44 PM].csv",1.05,0.0018397,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_50 PM].csv",1.025,0.0008605,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_37_57 PM].csv",1.025,0.0018255,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_03 PM].csv",1,0.00155396,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_10 PM].csv",0.65,0.000636044,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_16 PM].csv",1.025,0.00182854,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_22 PM].csv",1.075,0.00161524,,,
"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_28 PM].csv",0.8,0.001186724,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_00 PM].csv",0.25,0.00012296,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_06 PM].csv",0.25,0.00012332,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_13 PM].csv",0.25,0.00012324,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_19 PM].csv",0.25,0.00012288,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_25 PM].csv",0.25,0.000123,,,
"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_31 PM].csv",0.25,0.0001232,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_21 PM].csv",1,0.00117178,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_27 PM].csv",1,0.00145744,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_34 PM].csv",0.9,0.0009649,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_41 PM].csv",0.975,0.000537,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_47 PM].csv",0.975,0.00139812,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_53 PM].csv",1.075,0.00133452,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_00 PM].csv",1.05,0.0013553,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_06 PM].csv",0.925,0.00142654,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_12 PM].csv",0.75,0.0007874,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_18 PM].csv",0.85,0.0010546,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_25 PM].csv",0.95,0.00141922,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_31 PM].csv",0.8,0.0004967,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_37 PM].csv",0.85,0.00147012,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_43 PM].csv",1.025,0.00066056,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_50 PM].csv",1.075,0.0007224,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_47_56 PM].csv",1,0.00125354,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_48_02 PM].csv",0.975,0.0012146,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_48_08 PM].csv",1,0.00105622,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_48_15 PM].csv",1.075,0.00125692,,,
"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_48_21 PM].csv",0.975,0.00055252,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_11 PM].csv",0.975,0.00105952,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_17 PM].csv",1.175,0.00180756,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_23 PM].csv",1.225,0.00172544,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_30 PM].csv",1.025,0.00111836,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_36 PM].csv",1.275,0.00078254,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_42 PM].csv",1.025,0.00131128,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_49 PM].csv",1.1,0.00166828,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_55 PM].csv",1,0.00143492,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_01 PM].csv",1.15,0.00182246,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_08 PM].csv",1.075,0.00164214,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_14 PM].csv",1.15,0.00182848,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_21 PM].csv",1.15,0.0018292,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_27 PM].csv",1.125,0.0018329,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_34 PM].csv",1.075,0.00184398,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_40 PM].csv",1.15,0.00181986,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_46 PM].csv",1.125,0.00182844,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_30_53 PM].csv",1.05,0.00173638,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_31_00 PM].csv",1.275,0.00179742,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_31_06 PM].csv",1.275,0.00180268,,,
"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_31_12 PM].csv",1.25,0.00180614,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_32_49 PM].csv",1.05,0.00155242,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_32_56 PM].csv",0.925,0.00141966,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_02 PM].csv",0.975,0.00157106,,,
