File Name,Corresponding Data Point,Maximum Subtraction
"[A3-02-4um-01,Forming,1,8_6_2024 12_18_10 PM].csv",3.24,0.00049963052
"[A3-02-4um-02,Forming,2,8_6_2024 12_27_57 PM].csv",4.66,0.00049910654
"[A3-02-4um-03,Forming,3,8_6_2024 12_30_55 PM].csv",4.2,0.00043433843999999996
"[A3-02-4um-04,Forming,4,8_6_2024 12_34_29 PM].csv",3.66,0.0005000291422
"[A3-02-4um-05,Forming,5,8_6_2024 12_37_29 PM].csv",2.1,0.00049951216
"[A3-02-4um-06,Forming,6,8_6_2024 12_41_41 PM].csv",5.76,0.0005000211922
"[A3-02-4um-07,Forming,7,8_6_2024 12_45_48 PM].csv",6.08,0.00049990946
"[A3-02-4um-08,Forming,8,8_6_2024 12_53_49 PM].csv",5.1000000000000005,0.0004999921722
"[A3-02-4um-09,Forming,9,8_6_2024 12_58_30 PM].csv",5.4,0.0004999954403
"[A3-02-4um-10,Forming,10,8_6_2024 1_01_21 PM].csv",7.22,0.0004998957199999999
"[A3-02-4um-11,Forming,11,8_6_2024 1_05_52 PM].csv",5.98,0.00049984326
"[A3-02-4um-12,Forming,12,8_6_2024 1_11_25 PM].csv",8.540000000000001,2.9102699999999996e-08
"[A8-02-4um-01,Forming,32,8_6_2024 4_16_35 PM].csv",1.52,0.000450848
"[A8-02-4um-02,Forming,33,8_6_2024 4_19_28 PM].csv",0.44,3.742000000000003e-05
"[A8-02-4um-03,Forming,34,8_6_2024 4_20_00 PM].csv",1.4,0.0001711
"[A8-04-4um-01,Forming,20,8_6_2024 2_38_02 PM].csv",4.64,0.0004999941937999999
"[A8-04-4um-02,Forming,21,8_6_2024 2_41_25 PM].csv",4.72,0.00049977256
"[A8-04-4um-03,Forming,22,8_6_2024 2_44_35 PM].csv",4.94,0.0004999662834
"[A8-04-4um-04,Forming,23,8_6_2024 2_47_47 PM].csv",4.86,0.0004999342
"[A8-04-4um-05,Forming,24,8_6_2024 2_51_32 PM].csv",4.7,0.0005000157492
"[A8-04-4um-06,Forming,25,8_6_2024 2_54_33 PM].csv",4.66,0.0004999983137
"[A8-04-4um-07,Forming,26,8_6_2024 2_59_09 PM].csv",5.0,0.00049974638
"[A8-04-4um-08,Forming,27,8_6_2024 3_02_53 PM].csv",5.0,0.0004999678226
"[A8-04-4um-09,Forming,28,8_6_2024 3_06_45 PM].csv",4.98,0.0004999681545
"[A8-04-4um-10,Forming,29,8_6_2024 3_10_17 PM].csv",4.58,0.0005000175543
"[A8-04-4um-11,Forming,30,8_6_2024 3_13_23 PM].csv",5.0200000000000005,0.00049976674
"[A8-04-4um-12,Forming,31,8_6_2024 3_16_40 PM].csv",4.82,0.0004999856843
"[B6-01-4um-01,Forming,35,8_6_2024 4_21_39 PM].csv",0.36,2.758000000000003e-05
"[B6-01-4um-02,Forming,36,8_6_2024 4_24_45 PM].csv",1.92,0.0004952118
"[B6-01-4um-03,Forming,37,8_6_2024 4_27_49 PM].csv",5.0600000000000005,0.0004999431
"[B6-01-4um-04,Forming,38,8_6_2024 4_30_49 PM].csv",0.86,0.0004978520999999999
"[B6-01-4um-05,Forming,39,8_6_2024 4_33_56 PM].csv",1.04,2.515999999999993e-05
"[c3-04-4um-01,Forming,40,8_6_2024 4_35_55 PM].csv",4.98,0.00049989844
"[c3-04-4um-02,Forming,41,8_6_2024 4_39_02 PM].csv",5.04,0.0004999687535999999
"[c3-04-4um-03,Forming,42,8_6_2024 4_44_25 PM].csv",4.7,0.0005000237311
"[C3-04-4um-05,Forming,43,8_6_2024 4_49_52 PM].csv",4.58,0.00049987244
"[C3-04-4um-05-2,Forming,44,8_6_2024 4_53_05 PM].csv",2.08,0.00018357999999999997
"[C3-04-4um-06,Forming,45,8_6_2024 4_53_53 PM].csv",5.0200000000000005,0.00049976002
"[C3-04-4um-07,Forming,46,8_6_2024 4_57_15 PM].csv",5.04,0.00049987144
"[C3-04-4um-08,Forming,47,8_6_2024 5_00_54 PM].csv",4.86,0.0004999808511999999
"[C3-04-4um-09,Forming,48,8_6_2024 5_06_35 PM].csv",5.0,0.0004999787434999999
"[C3-04-4um-10,Forming,49,8_6_2024 5_09_49 PM].csv",4.76,0.0004999965738
"[C3-04-4um-11,Forming,50,8_6_2024 5_12_51 PM].csv",5.12,0.00049982176
"[C3-04-4um-12,Forming,51,8_6_2024 5_15_58 PM].csv",4.64,0.0005000037236999999
"[C5-02-4um-01,Forming,63,8_6_2024 5_56_01 PM].csv",4.78,0.00049989008
