File Name,Corresponding Data Point,Maximum Subtraction,mean ,stdv,COV==stdv/mean 
"[A3-02-4um-01,Forming,1,8_6_2024 12_18_10 PM].csv",3.24,0.000499631,4.770508475,2.086719446,0.437420761
"[A3-02-4um-02,Forming,2,8_6_2024 12_27_57 PM].csv",4.66,0.000499107,,,
"[A3-02-4um-03,Forming,3,8_6_2024 12_30_55 PM].csv",4.2,0.000434338,,,
"[A3-02-4um-04,Forming,4,8_6_2024 12_34_29 PM].csv",3.66,0.000500029,,,
"[A3-02-4um-05,Forming,5,8_6_2024 12_37_29 PM].csv",2.1,0.000499512,,,
"[A3-02-4um-06,Forming,6,8_6_2024 12_41_41 PM].csv",5.76,0.000500021,,,
"[A3-02-4um-07,Forming,7,8_6_2024 12_45_48 PM].csv",6.08,0.000499909,,,
"[A3-02-4um-08,Forming,8,8_6_2024 12_53_49 PM].csv",5.1,0.000499992,,,
"[A3-02-4um-09,Forming,9,8_6_2024 12_58_30 PM].csv",5.4,0.000499995,,,
"[A3-02-4um-10,Forming,10,8_6_2024 1_01_21 PM].csv",7.22,0.000499896,,,
"[A3-02-4um-11,Forming,11,8_6_2024 1_05_52 PM].csv",5.98,0.000499843,,,
"[A3-02-4um-12,Forming,12,8_6_2024 1_11_25 PM].csv",8.54,2.91E-08,,,
"[A8-02-4um-01,Forming,32,8_6_2024 4_16_35 PM].csv",1.52,0.000450848,,,
"[A8-02-4um-01,Forming,37,8_5_2024 4_43_07 PM].csv",2.82,0.000499774,,,
"[A8-02-4um-02,Forming,33,8_6_2024 4_19_28 PM].csv",0.44,3.74E-05,,,
"[A8-02-4um-02,Forming,38,8_5_2024 4_52_45 PM].csv",4.74,0.000499846,,,
"[A8-02-4um-03,Forming,34,8_6_2024 4_20_00 PM].csv",1.4,0.0001711,,,
"[A8-02-4um-03,Forming,39,8_5_2024 4_59_04 PM].csv",3.28,1.05E-08,,,
"[A8-02-4um-04,Forming,40,8_5_2024 5_05_13 PM].csv",5.58,0.000499822,,,
"[A8-02-4um-05,Forming,41,8_5_2024 5_08_23 PM].csv",6.72,0.000499687,,,
"[A8-02-4um-06,Forming,42,8_5_2024 5_11_55 PM].csv",4.76,1.49E-07,,,
"[A8-02-4um-07,Forming,43,8_5_2024 5_15_06 PM].csv",9.82,0.000499971,,,
"[A8-02-4um-08,Forming,44,8_5_2024 5_16_11 PM].csv",4.78,0.000499963,,,
"[A8-02-4um-09,Forming,45,8_5_2024 5_19_48 PM].csv",9.72,0.000500043,,,
"[A8-02-4um-10,Forming,46,8_5_2024 5_22_32 PM].csv",4.86,0.000499178,,,
"[A8-02-4um-11,Forming,47,8_5_2024 5_24_14 PM].csv",5.22,0.000499977,,,
"[A8-02-4um-12,Forming,48,8_5_2024 5_27_23 PM].csv",6.1,0.000499974,,,
"[A8-04-4um-01,Forming,20,8_6_2024 2_38_02 PM].csv",4.64,0.000499994,,,
"[A8-04-4um-02,Forming,21,8_6_2024 2_41_25 PM].csv",4.72,0.000499773,,,
"[A8-04-4um-03,Forming,22,8_6_2024 2_44_35 PM].csv",4.94,0.000499966,,,
"[A8-04-4um-04,Forming,23,8_6_2024 2_47_47 PM].csv",4.86,0.000499934,,,
"[A8-04-4um-05,Forming,24,8_6_2024 2_51_32 PM].csv",4.7,0.000500016,,,
"[A8-04-4um-06,Forming,25,8_6_2024 2_54_33 PM].csv",4.66,0.000499998,,,
"[A8-04-4um-07,Forming,26,8_6_2024 2_59_09 PM].csv",5,0.000499746,,,
"[A8-04-4um-08,Forming,27,8_6_2024 3_02_53 PM].csv",5,0.000499968,,,
"[A8-04-4um-09,Forming,28,8_6_2024 3_06_45 PM].csv",4.98,0.000499968,,,
"[A8-04-4um-10,Forming,29,8_6_2024 3_10_17 PM].csv",4.58,0.000500018,,,
"[A8-04-4um-11,Forming,30,8_6_2024 3_13_23 PM].csv",5.02,0.000499767,,,
"[A8-04-4um-12,Forming,31,8_6_2024 3_16_40 PM].csv",4.82,0.000499986,,,
"[B6-01-4um-01,Forming,35,8_6_2024 4_21_39 PM].csv",0.36,2.76E-05,,,
"[B6-01-4um-01,Forming,49,8_5_2024 5_34_56 PM].csv",5.64,0.000499919,,,
"[B6-01-4um-02,Forming,36,8_6_2024 4_24_45 PM].csv",1.92,0.000495212,,,
"[B6-01-4um-02,Forming,50,8_5_2024 5_38_16 PM].csv",10,2.12E-08,,,
"[B6-01-4um-03,Forming,37,8_6_2024 4_27_49 PM].csv",5.06,0.000499943,,,
"[B6-01-4um-03,Forming,51,8_5_2024 5_49_59 PM].csv",0.62,9.23E-09,,,
"[B6-01-4um-04,Forming,38,8_6_2024 4_30_49 PM].csv",0.86,0.000497852,,,
"[B6-01-4um-04,Forming,52,8_5_2024 6_01_49 PM].csv",1.22,8.66E-09,,,
"[B6-01-4um-05,Forming,39,8_6_2024 4_33_56 PM].csv",1.04,2.52E-05,,,
"[B6-01-4um-05,Forming,53,8_5_2024 6_05_20 PM].csv",9.98,2.09E-08,,,
"[B6-01-4um-06,Forming,54,8_5_2024 6_08_49 PM].csv",8.56,3.08E-08,,,
"[B6-01-4um-07,Forming,55,8_5_2024 6_16_43 PM].csv",9.42,2.09E-08,,,
"[B6-01-4um-09,Forming,56,8_5_2024 6_24_45 PM].csv",5.16,0.000499836,,,
"[B6-01-4um-10,Forming,57,8_5_2024 6_31_32 PM].csv",2.46,0.00024402,,,
"[B6-01-4um-12,Forming,58,8_5_2024 6_34_50 PM].csv",4.84,0.000499988,,,
"[C3-01-4um-01,Forming,13,8_5_2024 2_29_39 PM].csv",4.64,0.000499955,,,
"[C3-01-4um-02,Forming,14,8_5_2024 2_32_57 PM].csv",4.84,0.000499889,,,
"[C3-01-4um-03,Forming,15,8_5_2024 2_36_01 PM].csv",4.96,0.00049963,,,
"[C3-01-4um-04,Forming,16,8_5_2024 2_39_05 PM].csv",4.78,0.00049992,,,
"[C3-01-4um-05,Forming,17,8_5_2024 2_42_13 PM].csv",2.6,0.000499625,,,
"[C3-01-4um-06,Forming,18,8_5_2024 2_45_31 PM].csv",4.98,0.000499975,,,
"[C3-01-4um-07,Forming,19,8_5_2024 2_49_02 PM].csv",4.64,0.000499998,,,
"[C3-01-4um-08,Forming,20,8_5_2024 2_52_07 PM].csv",5,0.00049939,,,
"[C3-01-4um-09,Forming,21,8_5_2024 2_55_16 PM].csv",4.88,0.000499975,,,
"[C3-01-4um-10,Forming,22,8_5_2024 2_58_44 PM].csv",6.32,0.000499839,,,
"[C3-01-4um-11,Forming,23,8_5_2024 3_04_25 PM].csv",1.38,0.000493144,,,
"[C3-01-4um-12,Forming,24,8_5_2024 3_07_43 PM].csv",5.06,0.000499669,,,
"[C3-02-4um-01,Forming,1,8_5_2024 1_21_48 PM].csv",4.76,0.000499976,,,
"[C3-02-4um-05,Forming,5,8_5_2024 1_33_14 PM].csv",4.84,0.00049972,,,
"[C3-02-4um-06,Forming,6,8_5_2024 1_38_44 PM].csv",4.74,0.000499787,,,
"[C3-02-4um-07,Forming,7,8_5_2024 1_44_00 PM].csv",4.74,0.000499981,,,
"[C3-02-4um-08,Forming,8,8_5_2024 1_47_50 PM].csv",5.04,0.00049998,,,
"[C3-02-4um-09,Forming,9,8_5_2024 1_53_09 PM].csv",5.06,0.000499826,,,
"[C3-02-4um-10,Forming,10,8_5_2024 1_56_14 PM].csv",5.04,0.000499587,,,
"[C3-02-4um-11,Forming,11,8_5_2024 1_59_43 PM].csv",4.14,0.000499686,,,
"[C3-02-4um-12,Forming,12,8_5_2024 2_03_49 PM].csv",4.64,0.00050001,,,
"[c3-04-4um-01,Forming,40,8_6_2024 4_35_55 PM].csv",4.98,0.000499898,,,
"[c3-04-4um-02,Forming,41,8_6_2024 4_39_02 PM].csv",5.04,0.000499969,,,
"[c3-04-4um-03,Forming,42,8_6_2024 4_44_25 PM].csv",4.7,0.000500024,,,
"[C3-04-4um-05,Forming,43,8_6_2024 4_49_52 PM].csv",4.58,0.000499872,,,
"[C3-04-4um-05-2,Forming,44,8_6_2024 4_53_05 PM].csv",2.08,0.00018358,,,
"[C3-04-4um-06,Forming,45,8_6_2024 4_53_53 PM].csv",5.02,0.00049976,,,
"[C3-04-4um-07,Forming,46,8_6_2024 4_57_15 PM].csv",5.04,0.000499871,,,
"[C3-04-4um-08,Forming,47,8_6_2024 5_00_54 PM].csv",4.86,0.000499981,,,
"[C3-04-4um-09,Forming,48,8_6_2024 5_06_35 PM].csv",5,0.000499979,,,
"[C3-04-4um-10,Forming,49,8_6_2024 5_09_49 PM].csv",4.76,0.000499997,,,
"[C3-04-4um-11,Forming,50,8_6_2024 5_12_51 PM].csv",5.12,0.000499822,,,
"[C3-04-4um-12,Forming,51,8_6_2024 5_15_58 PM].csv",4.64,0.000500004,,,
"[C5-02-4um-01,Forming,63,8_6_2024 5_56_01 PM].csv",4.78,0.00049989,,,
"[C5-02-4um-02,Forming,62,8_6_2024 5_52_44 PM].csv",4.62,0.000499861,,,
"[C5-02-4um-03,Forming,61,8_6_2024 5_49_36 PM].csv",4.94,0.000499939,,,
"[C5-02-4um-04,Forming,60,8_6_2024 5_46_26 PM].csv",4.96,0.000499933,,,
"[C5-02-4um-05,Forming,59,8_6_2024 5_43_23 PM].csv",5.04,0.000499847,,,
"[C5-02-4um-06,Forming,58,8_6_2024 5_40_01 PM].csv",4.98,0.00049992,,,
