Data Points,CDF
4.390000000000000003e-07,2.564102564102564014e-02
4.959999999999999945e-07,5.128205128205128027e-02
4.959999999999999945e-07,7.692307692307692735e-02
5.130000000000000011e-07,1.025641025641025605e-01
6.349999999999999554e-07,1.282051282051281937e-01
7.670000000000000256e-07,1.538461538461538547e-01
8.160000000000000012e-07,1.794871794871794879e-01
9.129999999999999830e-07,2.051282051282051211e-01
1.030000000000000091e-06,2.307692307692307820e-01
1.069999999999999920e-06,2.564102564102563875e-01
1.190000000000000041e-06,2.820512820512820484e-01
1.269999999999999911e-06,3.076923076923077094e-01
1.289999999999999931e-06,3.333333333333333148e-01
1.329999999999999972e-06,3.589743589743589758e-01
1.399999999999999937e-06,3.846153846153846367e-01
1.520000000000000058e-06,4.102564102564102422e-01
1.619999999999999948e-06,4.358974358974359031e-01
2.319999999999999810e-06,4.615384615384615641e-01
2.500000000000000205e-06,4.871794871794871695e-01
3.229999999999999991e-06,5.128205128205127750e-01
nan,5.384615384615384359e-01
nan,5.641025641025640969e-01
nan,5.897435897435897578e-01
nan,6.153846153846154188e-01
nan,6.410256410256410797e-01
nan,6.666666666666666297e-01
nan,6.923076923076922906e-01
nan,7.179487179487179516e-01
nan,7.435897435897436125e-01
nan,7.692307692307692735e-01
nan,7.948717948717948234e-01
nan,8.205128205128204844e-01
nan,8.461538461538461453e-01
nan,8.717948717948718063e-01
nan,8.974358974358974672e-01
nan,9.230769230769231282e-01
nan,9.487179487179486781e-01
nan,9.743589743589743390e-01
nan,1.000000000000000000e+00
