Data Points,CDF
8.349999999999999675e-05,2.564102564102564014e-02
8.380000000000000404e-05,5.128205128205128027e-02
8.380000000000000404e-05,7.692307692307692735e-02
8.390000000000000647e-05,1.025641025641025605e-01
8.390000000000000647e-05,1.282051282051281937e-01
8.390000000000000647e-05,1.538461538461538547e-01
8.390000000000000647e-05,1.794871794871794879e-01
8.420000000000000021e-05,2.051282051282051211e-01
8.440000000000000507e-05,2.307692307692307820e-01
8.490000000000000368e-05,2.564102564102563875e-01
8.500000000000000611e-05,2.820512820512820484e-01
8.519999999999999742e-05,3.076923076923077094e-01
8.569999999999999602e-05,3.333333333333333148e-01
8.590000000000000088e-05,3.589743589743589758e-01
8.629999999999999705e-05,3.846153846153846367e-01
8.650000000000000191e-05,4.102564102564102422e-01
8.700000000000000051e-05,4.358974358974359031e-01
9.220000000000000493e-05,4.615384615384615641e-01
9.560000000000000626e-05,4.871794871794871695e-01
1.167199999999999938e-04,5.128205128205127750e-01
nan,5.384615384615384359e-01
nan,5.641025641025640969e-01
nan,5.897435897435897578e-01
nan,6.153846153846154188e-01
nan,6.410256410256410797e-01
nan,6.666666666666666297e-01
nan,6.923076923076922906e-01
nan,7.179487179487179516e-01
nan,7.435897435897436125e-01
nan,7.692307692307692735e-01
nan,7.948717948717948234e-01
nan,8.205128205128204844e-01
nan,8.461538461538461453e-01
nan,8.717948717948718063e-01
nan,8.974358974358974672e-01
nan,9.230769230769231282e-01
nan,9.487179487179486781e-01
nan,9.743589743589743390e-01
nan,1.000000000000000000e+00
