 V1-form,i1-form,V1-set,i1-set
0,3.46E-09,0,6.21E-09
0.02,-5.53E-09,0.025,3.44E-07
0.04,-3.36E-09,0.05,6.88E-07
0.06,-4.24E-09,0.075,1.05E-06
0.08,-8.05E-09,0.1,1.44E-06
0.1,-8.51E-09,0.125,1.81E-06
0.12,-7.66E-09,0.15,2.21E-06
0.14,1.77E-09,0.175,2.63E-06
0.16,8.74E-09,0.2,3.10E-06
0.18,7.50E-09,0.225,3.54E-06
0.2,-1.93E-09,0.25,3.91E-06
0.22,-8.61E-09,0.275,4.36E-06
0.24,-7.30E-09,0.3,4.87E-06
0.26,2.57E-10,0.325,5.39E-06
0.28,4.47E-09,0.35,6.58E-06
0.3,8.17E-09,0.375,7.16E-06
0.32,8.18E-09,0.4,7.77E-06
0.34,-1.15E-09,0.425,8.45E-06
0.36,-8.58E-09,0.45,9.14E-06
0.38,-7.63E-09,0.475,9.83E-06
0.4,1.82E-09,0.5,1.06E-05
0.42,8.86E-09,0.525,1.12E-05
0.44,8.20E-09,0.55,1.07E-05
0.46,-1.61E-09,0.575,1.14E-05
0.48,-7.89E-09,0.6,1.21E-05
0.5,-8.01E-09,0.625,1.29E-05
0.52,1.34E-09,0.65,1.43E-05
0.54,8.98E-09,0.675,1.46E-05
0.56,6.84E-09,0.7,1.57E-05
0.58,-2.32E-09,0.725,1.54E-05
0.6,-3.25E-09,0.75,1.56E-05
0.62,-4.41E-09,0.775,1.72E-05
0.64,-8.61E-09,0.8,1.76E-05
0.66,-7.56E-09,0.825,1.92E-05
0.68,1.63E-09,0.85,2.19E-05
0.7,8.98E-09,0.875,2.38E-05
0.72,7.16E-09,0.9,2.46E-05
0.74,-2.04E-09,0.925,2.56E-05
0.76,-3.03E-09,0.95,2.66E-05
0.78,-4.04E-09,0.975,2.69E-05
0.8,-5.18E-09,1,3.64E-05
0.82,-2.82E-09,1.025,0.00050004
0.84,3.22E-10,1.05,0.00050004
0.86,-4.03E-09,1.075,0.00050004
0.88,-4.95E-09,1.1,0.00050004
0.9,-8.57E-09,1.125,0.00050004
0.92,-7.59E-09,1.15,0.00050002
0.94,1.61E-09,1.175,0.0005
0.96,9.00E-09,1.2,0.00050004
0.98,7.19E-09,1.225,0.00050004
1,-2.24E-09,1.25,0.00050004
1.02,-3.71E-09,1.275,0.00050002
1.04,-6.24E-09,1.3,0.00050002
1.06,-3.62E-09,1.325,0.00050002
1.08,-4.61E-09,1.35,0.0005
1.1,-8.36E-09,1.375,0.0005
1.12,-7.67E-09,1.4,0.00050002
1.14,-3.01E-09,1.425,0.00050004
1.16,2.70E-09,1.45,0.00050002
1.18,4.01E-09,1.475,0.00050004
1.2,5.22E-09,1.5,0.00050002
1.22,8.88E-09,1.525,0.00050004
1.24,4.62E-09,1.55,0.0005
1.26,8.68E-09,1.575,0.0005
1.28,1.01E-08,1.6,0.00050002
1.3,3.33E-09,1.625,0.00050004
1.32,-5.14E-09,1.65,0.00050004
1.34,-3.15E-09,1.675,0.00050002
1.36,-4.16E-09,1.7,0.00050002
1.38,-8.24E-09,1.725,0.0005
1.4,-7.61E-09,1.75,0.00050002
1.42,1.76E-09,1.775,0.00050002
1.44,9.16E-09,1.8,0.00050004
1.46,7.12E-09,1.825,0.00050004
1.48,1.79E-09,1.85,0.00050002
1.5,-2.91E-09,1.875,0.00050002
1.52,-8.77E-10,1.9,0.00050002
1.54,-8.47E-09,1.925,0.0005
1.56,-7.44E-09,1.95,0.00050002
1.58,1.65E-09,1.975,0.00050004
1.6,9.13E-09,2,0.00050004
1.62,7.26E-09,2.025,0.00050002
1.64,-2.11E-09,2.05,0.00050002
1.66,-8.50E-09,2.075,0.00050004
1.68,-7.30E-09,2.1,0.00050002
1.7,1.86E-09,2.125,0.00050002
1.72,9.28E-09,2.15,0.00050004
1.74,7.54E-09,2.175,0.00050004
1.76,-1.72E-09,2.2,0.00050004
1.78,-8.50E-09,2.225,0.0005
1.8,-7.38E-09,2.25,0.00050004
1.82,2.12E-09,2.275,0.00050004
1.84,9.01E-09,2.3,0.00050002
1.86,4.14E-09,2.325,0.00050004
1.88,4.41E-09,2.35,0.00050004
1.9,3.76E-09,2.375,0.00050004
1.92,4.83E-09,2.4,0.00050004
