File Name,Corresponding Data Point,Maximum Subtraction,mean,stdv,COV
"[A8-04-4um-01,Forming,1,7_25_2024 3_19_05 PM].csv",6.34,0.000497424,3.997647059,2.267605274,0.567234986
"[A8-04-4um-01,Forming,1,7_25_2024 3_20_47 PM].csv",4.48,7.34E-09,,,
"[A8-04-4um-02,Forming,1,7_25_2024 3_26_04 PM].csv",0.06,6.69E-06,,,
"[A8-04-4um-02,Forming,1,7_25_2024 3_26_41 PM].csv",0.04,4.00E-07,,,
"[A8-04-4um-02,Forming,1,7_25_2024 3_27_15 PM].csv",0.76,1.85E-06,,,
"[A8-04-4um-02,Forming,1,7_25_2024 3_27_56 PM].csv",1.12,0.000306126,,,
"[A8-04-4um-02,Forming,2,7_25_2024 3_25_37 PM].csv",4.14,1.69E-06,,,
"[A8-04-4um-02,Forming,2,7_25_2024 3_26_21 PM].csv",0.54,0.00019948,,,
"[A8-04-4um-02,Forming,2,7_25_2024 3_26_51 PM].csv",0.46,2.85E-05,,,
"[A8-04-4um-02,Forming,2,7_25_2024 3_27_32 PM].csv",2.54,0.000450854,,,
"[A8-04-4um-03,Forming,1,7_25_2024 3_29_59 PM].csv",1.34,3.51E-05,,,
"[A8-04-4um-04,Forming,2,7_25_2024 3_35_42 PM].csv",4.14,3.64E-05,,,
"[A8-04-4um-05,Forming,1,7_25_2024 3_42_09 PM].csv",4.06,4.03E-05,,,
"[A8-04-4um-06,Forming,2,7_25_2024 3_46_53 PM].csv",4.14,3.99E-05,,,
"[A8-04-4um-07,Forming,3,7_25_2024 3_50_56 PM].csv",4.1,3.88E-05,,,
"[A8-04-4um-08,Forming,4,7_25_2024 3_55_33 PM].csv",1.78,4.97E-05,,,
"[A8-04-4um-09,Forming,5,7_25_2024 4_00_04 PM].csv",0.12,6.48E-06,,,
"[A8-04-4um-10,Forming,6,7_25_2024 4_05_18 PM].csv",3.98,4.21E-05,,,
"[A8-04-4um-11,Forming,7,7_25_2024 4_08_45 PM].csv",2.5,4.00E-09,,,
"[A8-04-4um-12,Forming,8,7_25_2024 4_32_57 PM].csv",0.04,1.65E-05,,,
"[B6-01-4um-01,Forming,9,7_25_2024 4_44_18 PM].csv",4.7,1.67E-05,,,
"[B6-01-4um-02,Forming,10,7_25_2024 4_49_18 PM].csv",3.92,4.27E-05,,,
"[B6-01-4um-03,Forming,11,7_25_2024 4_56_23 PM].csv",3.98,4.25E-05,,,
"[B6-01-4um-04,Forming,12,7_25_2024 5_01_45 PM].csv",4.1,3.77E-05,,,
"[B6-01-4um-05,Forming,13,7_25_2024 5_10_04 PM].csv",4.24,3.33E-05,,,
"[B6-01-4um-06,Forming,14,7_25_2024 5_13_41 PM].csv",4.08,4.19E-05,,,
"[B6-01-4um-07,Forming,15,7_25_2024 5_19_43 PM].csv",4.04,4.23E-05,,,
"[B6-01-4um-08,Forming,16,7_25_2024 5_28_26 PM].csv",4.14,3.76E-05,,,
"[B6-01-4um-09,Forming,17,7_25_2024 5_42_36 PM].csv",3.9,4.47E-05,,,
"[B6-01-4um-10,Forming,18,7_25_2024 5_46_33 PM].csv",4.32,2.07E-05,,,
"[C3-02-4um-01,Forming,1,7_26_2024 11_42_43 AM].csv",4.28,2.20E-05,,,
"[C3-02-4um-02,Forming,2,7_26_2024 11_46_14 AM].csv",4.28,2.76E-05,,,
"[C3-02-4um-03,Forming,3,7_26_2024 11_49_03 AM].csv",4.56,2.85E-05,,,
"[C3-02-4um-04,Forming,4,7_26_2024 11_53_03 AM].csv",4.14,4.00E-05,,,
"[C3-02-4um-05,Forming,5,7_26_2024 11_56_01 AM].csv",1.92,3.71E-05,,,
"[C3-02-4um-06,Forming,6,7_26_2024 11_58_56 AM].csv",4.14,3.98E-05,,,
"[C3-02-4um-07,Forming,7,7_26_2024 12_02_20 PM].csv",4.26,3.36E-05,,,
"[C3-02-4um-08,Forming,8,7_26_2024 12_05_26 PM].csv",4.24,3.42E-05,,,
"[C3-02-4um-09,Forming,9,7_26_2024 12_09_12 PM].csv",5.6,4.79E-05,,,
"[C3-02-4um-10,Forming,10,7_26_2024 12_13_17 PM].csv",4.22,4.13E-05,,,
"[C3-02-4um-11,Forming,11,7_26_2024 12_23_32 PM].csv",5.78,4.90E-05,,,
"[C3-02-4um-12,Forming,12,7_26_2024 12_27_02 PM].csv",7.56,4.76E-05,,,
"[D2-01-4um-01,Forming,13,7_26_2024 12_31_03 PM].csv",4.04,3.61E-05,,,
"[D2-01-4um-02,Forming,14,7_26_2024 12_34_30 PM].csv",5.4,4.97E-05,,,
"[D2-01-4um-03,Forming,15,7_26_2024 1_54_15 PM].csv",8.96,4.97E-05,,,
"[D2-01-4um-04,Forming,16,7_26_2024 1_58_57 PM].csv",6.02,5.00E-05,,,
"[D2-01-4um-05,Forming,17,7_26_2024 2_09_04 PM].csv",6.86,8.76E-09,,,
"[D2-01-4um-06,Forming,1,7_26_2024 2_11_07 PM].csv",5.28,3.84E-05,,,
"[D2-01-4um-06,Forming,18,7_26_2024 2_10_21 PM].csv",10,1.16E-08,,,
"[D2-01-4um-07,Forming,1,7_26_2024 2_14_04 PM].csv",4.4,3.47E-05,,,
"[D2-01-4um-07,Forming,2,7_26_2024 2_13_38 PM].csv",9.84,2.07E-08,,,
