File Name,Corresponding Data Point,Maximum Subtraction,,,,,
"[B7-03-4um-02,Forming,38,9_4_2024 1_57_35 PM].csv",9.28,0.000499753,6.40625,1.397367503,0.218125659,3.18,9.28
"[B6-01-4um-05,Forming,44,9_4_2024 2_21_55 PM].csv",8.96,0.000499766,,,,,
"[D1-03-4um-03,Forming,65,9_4_2024 3_34_24 PM].csv",8.5,0.000499866,,,,,
"[B6-01-4um-08,Forming,47,9_4_2024 2_27_30 PM].csv",8.46,0.000499895,,,,,
"[D1-02-4um-05,Forming,79,9_4_2024 3_55_57 PM].csv",7.92,0.000499902,,,,,
"[B7-03-4um-04,Forming,40,9_4_2024 2_01_20 PM].csv",7.84,0.000499907,,,,,
"[D1-03-4um-09,Forming,71,9_4_2024 3_40_58 PM].csv",7.66,0.000499872,,,,,
"[D1-02-4um-04,Forming,78,9_4_2024 3_55_13 PM].csv",7.64,0.000499973,,,,,
"[B7-03-4um-03,Forming,39,9_4_2024 1_58_25 PM].csv",7.1,0.000499828,,,,,
"[D1-02-4um-03,Forming,77,9_4_2024 3_52_08 PM].csv",6.82,0.000499754,,,,,
"[D1-02-4um-02,Forming,76,9_4_2024 3_49_20 PM].csv",6.72,0.000499824,,,,,
"[B6-01-4um-09,Forming,48,9_4_2024 2_29_35 PM].csv",6.52,0.000499993,,,,,
"[B6-01-4um-03,Forming,42,9_4_2024 2_15_48 PM].csv",6.42,0.000499783,,,,,
"[B6-01-4um-07,Forming,46,9_4_2024 2_24_32 PM].csv",6.36,0.000499877,,,,,
"[B7-01-4um-10,Forming,60,9_4_2024 3_19_09 PM].csv",6.16,0.000499712,,,,,
"[B6-01-4um-02,Forming,41,9_4_2024 2_12_36 PM].csv",6.1,0.000499965,,,,,
"[D1-03-4um-04,Forming,66,9_4_2024 3_37_45 PM].csv",6.1,0.000499997,,,,,
"[B7-01-4um-06,Forming,56,9_4_2024 3_07_59 PM].csv",6.08,0.000499845,,,,,
"[D1-03-4um-02,Forming,64,9_4_2024 3_30_15 PM].csv",6.04,0.000499963,,,,,
"[B6-01-4um-10,Forming,49,9_4_2024 2_32_54 PM].csv",6.02,0.000499959,,,,,
"[B7-01-4um-02,Forming,52,9_4_2024 3_00_50 PM].csv",6,0.000499993,,,,,
"[D1-03-4um-01,Forming,63,9_4_2024 3_27_03 PM].csv",5.98,0.000499959,,,,,
"[D1-02-4um-01,Forming,75,9_4_2024 3_45_41 PM].csv",5.96,0.000499894,,,,,
"[B7-01-4um-08,Forming,58,9_4_2024 3_14_11 PM].csv",5.92,0.000499853,,,,,
"[B6-01-4um-11,Forming,50,9_4_2024 2_34_27 PM].csv",5.9,0.00049999,,,,,
"[B6-01-4um-04,Forming,43,9_4_2024 2_18_54 PM].csv",5.88,0.000500004,,,,,
"[B7-01-4um-07,Forming,57,9_4_2024 3_11_05 PM].csv",5.84,0.00050002,,,,,
"[B7-01-4um-01,Forming,51,9_4_2024 2_57_16 PM].csv",5.66,0.000500001,,,,,
"[B7-03-4um-01,Forming,37,9_4_2024 1_54_17 PM].csv",4.2,0.000499426,,,,,
"[D1-03-4um-11,Forming,73,9_4_2024 3_43_19 PM].csv",4.14,0.000499402,,,,,
"[B6-01-4um-06,Forming,45,9_4_2024 2_23_27 PM].csv",3.64,0.000499684,,,,,
"[B6-04-4um-02,Forming,35,9_4_2024 1_51_06 PM].csv",3.18,0.000499536,,,,,
