SetupTitle, Forming,,,,,,,,,,,,,,
PrimitiveTest, I/V Sweep,,,,,,,,,,,,,,
TestParameter, Context.MainFrame, B1500A,,,,,,,,,,,,,
TestParameter, Channel.UnitType, SMU, SMU,,,,,,,,,,,,
TestParameter, Channel.Unit, SMU1:MP, SMU2:MP,,,,,,,,,,,,
TestParameter, Channel.IName, I1, I2,,,,,,,,,,,,
TestParameter, Channel.VName, V1, V2,,,,,,,,,,,,
TestParameter, Channel.Mode, V, V,,,,,,,,,,,,
TestParameter, Channel.Func, VAR1, CONST,,,,,,,,,,,,
TestParameter, Channel.Index, ,,,,,,,,,,,,,
TestParameter, Channel.Time, ,,,,,,,,,,,,,
TestParameter, Measurement.Port.Unit, SMU1:MP, SMU2:MP,,,,,,,,,,,,
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE,,,,,,,,,,,,
TestParameter, Measurement.Port.Filter, ON, ON,,,,,,,,,,,,
TestParameter, Measurement.Port.OutputVoltageComparison,0,0,,,,,,,,,,,,
TestParameter, Measurement.Primary.Locus, Double,,,,,,,,,,,,,
TestParameter, Measurement.Primary.Scale, LINEAR,,,,,,,,,,,,,
TestParameter, Measurement.Primary.Start,0,,,,,,,,,,,,,
TestParameter, Measurement.Primary.Stop,10,,,,,,,,,,,,,
TestParameter, Measurement.Primary.Step,0.02,,,,,,,,,,,,,
TestParameter, Measurement.Primary.Compliance,0.0005,,,,,,,,,,,,,
TestParameter, Measurement.Primary.PowerCompliance,0,,,,,,,,,,,,,
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY,,,,,,,,,,,,,
TestParameter, Measurement.PostOutput.Value, START,,,,,,,,,,,,,
TestParameter, Measurement.PostOutput.Retention, OFF,,,,,,,,,,,,,
TestParameter, Measurement.Bias.Source,0,0,,,,,,,,,,,,
TestParameter, Measurement.Bias.Compliance,0.0005,0.1,,,,,,,,,,,,
TestParameter, Measurement.Monitor.Unit, SMU1:MP, SMU2:MP,,,,,,,,,,,,
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC,,,,,,,,,,,,
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side,,,,,,,,,,,,
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED,,,,,,,,,,,,
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA,,,,,,,,,,,,
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE,,,,,,,,,,,,
TestParameter, Measurement.Monitor.RangeRatingCoeff,50,50,,,,,,,,,,,,
TestParameter, Measurement.Timing.Hold,0,,,,,,,,,,,,,
TestParameter, Measurement.Timing.Delay,0,,,,,,,,,,,,,
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO,,,,,,,,,,,,,
TestParameter, Measurement.Adc.HighSpeed.Coeff,1,,,,,,,,,,,,,
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF,,,,,,,,,,,,,
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO,,,,,,,,,,,,,
TestParameter, Measurement.Adc.HighResolution.Coeff,6,,,,,,,,,,,,,
TestParameter, Measurement.WaitTime.Source.Coeff,1,,,,,,,,,,,,,
TestParameter, Measurement.WaitTime.Source.Offset,0,,,,,,,,,,,,,
TestParameter, Measurement.WaitTime.Monitor.Coeff,1,,,,,,,,,,,,,
TestParameter, Measurement.WaitTime.Monitor.Offset,0,,,,,,,,,,,,,
TestParameter, Output.Graph.Enabled, true,,,,,,,,,,,,,
TestParameter, Output.Graph.AutoScaling, false,,,,,,,,,,,,,
TestParameter, Output.Graph.XAxis.Data, V1,,,,,,,,,,,,,
TestParameter, Output.Graph.XAxis.Scale, Linear,,,,,,,,,,,,,
TestParameter, Output.Graph.XAxis.Left,0,,,,,,,,,,,,,
TestParameter, Output.Graph.XAxis.Right,5,,,,,,,,,,,,,
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.Data, I1,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.Scale, Linear,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.Bottom,-0.0005,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.Top,0.0005,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.Group, ,,,,,,,,,,,,,
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true,,,,,,,,,,,,,
TestParameter, AutoAnalysis.Interpolation, false,,,,,,,,,,,,,
TestParameter, AutoAnalysis.Var2StepCount,1,,,,,,,,,,,,,
TestParameter, AutoAnalysis.Var2StepScript, ,,,,,,,,,,,,,
TestParameter, AutoAnalysis.Line1.Enabled, false,,,,,,,,,,,,,
