File Name,Corresponding Data Point,Maximum Subtraction
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_12_45 PM].csv",2.075,0.0002522
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_12_52 PM].csv",0.75,0.000325946
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_12_58 PM].csv",0.975,0.000323326
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_04 PM].csv",0.875,0.00029233199999999997
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_10 PM].csv",0.9,0.000441748
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_16 PM].csv",0.975,0.000450434
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_22 PM].csv",1.3,0.000466052
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_29 PM].csv",0.775,0.00048109199999999997
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_35 PM].csv",0.75,0.00046079199999999996
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_41 PM].csv",0.875,0.000463108
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_48 PM].csv",1.125,0.00046761999999999997
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_13_54 PM].csv",0.85,0.000467032
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_01 PM].csv",0.725,0.00045094800000000006
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_07 PM].csv",1.125,0.000473
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_13 PM].csv",0.8,0.00046148
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_19 PM].csv",0.95,0.000479032
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_26 PM].csv",1.475,0.00047200400000000004
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_32 PM].csv",0.9,0.000473368
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_38 PM].csv",0.95,0.00047345199999999997
"[B6-01-4um-02,SET-RESET,41,9_4_2024 2_14_45 PM].csv",0.875,0.00047258
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_15_57 PM].csv",0.85,0.00016584
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_03 PM].csv",0.85,0.0001247
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_09 PM].csv",0.775,0.00017762
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_15 PM].csv",0.725,0.00016811999999999998
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_21 PM].csv",0.65,9.836799999999999e-05
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_28 PM].csv",0.65,0.000437598
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_34 PM].csv",0.8,0.000251506
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_40 PM].csv",0.825,0.00019665999999999998
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_46 PM].csv",0.6,0.00025512
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_52 PM].csv",0.875,0.0001691
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_16_58 PM].csv",0.75,0.00021511000000000002
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_17_05 PM].csv",0.8,0.0002009
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_17_11 PM].csv",0.85,0.00012587999999999998
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_17_17 PM].csv",0.8,0.0001429
"[B6-01-4um-03,SET-RESET,42,9_4_2024 2_17_23 PM].csv",0.75,0.00010927999999999998
