File Name,Corresponding Data Point,Maximum Subtraction,,,
"[A8-02-4um-01,Forming,37,7_30_2024 3_57_10 PM].csv",4.46,0.000499752,4.792083333,0.644951414,0.134586853
"[A8-02-4um-02,Forming,38,7_30_2024 4_00_24 PM].csv",4.56,0.000499606,,,
"[A8-02-4um-03,Forming,39,7_30_2024 4_04_24 PM].csv",4.66,0.000499232,,,
"[A8-02-4um-04,Forming,40,7_30_2024 4_15_06 PM].csv",4.22,0.000499922,,,
"[A8-02-4um-05,Forming,41,7_30_2024 4_39_33 PM].csv",4.48,0.000499767,,,
"[A8-02-4um-06,Forming,42,7_30_2024 4_43_31 PM].csv",4.58,0.000499404,,,
"[A8-02-4um-07,Forming,43,7_30_2024 4_46_49 PM].csv",4.5,0.000499562,,,
"[A8-02-4um-08,Forming,44,7_30_2024 4_50_49 PM].csv",4.36,0.000499825,,,
"[A8-02-4um-09,Forming,45,7_30_2024 4_54_02 PM].csv",4.7,0.000498954,,,
"[A8-02-4um-10,Forming,46,7_30_2024 4_57_01 PM].csv",4.52,0.000499698,,,
"[A8-02-4um-11,Forming,47,7_30_2024 5_00_09 PM].csv",4.38,0.000499747,,,
"[A8-02-4um-12,Forming,48,7_30_2024 5_03_15 PM].csv",4.7,0.000498972,,,
"[B7-02-4um-01,Forming,25,7_30_2024 2_53_35 PM].csv",6.12,0.000499604,,,
"[B7-02-4um-02,Forming,26,7_30_2024 2_58_53 PM].csv",4.54,0.000499734,,,
"[B7-02-4um-03,Forming,27,7_30_2024 3_02_23 PM].csv",4.66,0.000499636,,,
"[B7-02-4um-04,Forming,28,7_30_2024 3_06_19 PM].csv",4.64,0.000499502,,,
"[B7-02-4um-05,Forming,29,7_30_2024 3_09_29 PM].csv",4.54,0.000499768,,,
"[B7-02-4um-06,Forming,30,7_30_2024 3_18_03 PM].csv",4.52,0.000499777,,,
"[B7-02-4um-07,Forming,31,7_30_2024 3_24_16 PM].csv",4.62,0.000499518,,,
"[B7-02-4um-08,Forming,32,7_30_2024 3_27_23 PM].csv",4.74,0.000499248,,,
"[B7-02-4um-09,Forming,33,7_30_2024 3_36_03 PM].csv",4.26,0.000499997,,,
"[B7-02-4um-10,Forming,34,7_30_2024 3_41_17 PM].csv",4.58,0.000499644,,,
"[B7-02-4um-11,Forming,35,7_30_2024 3_44_38 PM].csv",4.6,0.000499713,,,
"[B7-02-4um-12,Forming,36,7_30_2024 3_50_25 PM].csv",4.56,0.000499563,,,
"[C3-04-4um-01,Forming,1,7_30_2024 12_45_00 PM].csv",4.64,0.000499449,,,
"[C3-04-4um-02,Forming,2,7_30_2024 12_48_28 PM].csv",4.38,0.000499845,,,
"[C3-04-4um-03,Forming,3,7_30_2024 12_51_19 PM].csv",4.56,0.000499718,,,
"[C3-04-4um-04,Forming,4,7_30_2024 12_56_48 PM].csv",4.76,0.000499425,,,
"[C3-04-4um-05,Forming,5,7_30_2024 12_59_58 PM].csv",4.62,0.000499737,,,
"[C3-04-4um-06,Forming,6,7_30_2024 1_03_50 PM].csv",4.6,0.000499741,,,
"[C3-04-4um-07,Forming,7,7_30_2024 1_06_59 PM].csv",4.24,0.000499963,,,
"[C3-04-4um-08,Forming,8,7_30_2024 1_10_53 PM].csv",4.7,0.000499561,,,
"[C3-04-4um-09,Forming,9,7_30_2024 1_15_03 PM].csv",4.74,0.000499596,,,
"[C3-04-4um-10,Forming,10,7_30_2024 1_18_11 PM].csv",4.74,0.00049963,,,
"[C3-04-4um-11,Forming,11,7_30_2024 1_21_46 PM].csv",5.42,0.000499765,,,
"[C3-04-4um-12,Forming,12,7_30_2024 1_24_46 PM].csv",5.12,0.000499514,,,
"[D1-01-4um-01,Forming,13,7_30_2024 1_35_58 PM].csv",7.36,0.000499628,,,
"[D1-01-4um-02,Forming,14,7_30_2024 1_40_02 PM].csv",7.28,0.000499934,,,
"[D1-01-4um-03,Forming,15,7_30_2024 1_47_15 PM].csv",6.12,0.000499684,,,
"[D1-01-4um-04,Forming,16,7_30_2024 1_51_29 PM].csv",4.68,0.000499591,,,
"[D1-01-4um-05,Forming,17,7_30_2024 1_57_30 PM].csv",4.76,0.000499327,,,
"[D1-01-4um-06,Forming,18,7_30_2024 2_00_32 PM].csv",4.62,0.000499654,,,
"[D1-01-4um-07,Forming,19,7_30_2024 2_03_39 PM].csv",4.62,0.000499471,,,
"[D1-01-4um-08,Forming,20,7_30_2024 2_23_26 PM].csv",4.52,0.000499814,,,
"[D1-01-4um-09,Forming,21,7_30_2024 2_27_00 PM].csv",4.48,0.000499862,,,
"[D1-01-4um-10,Forming,22,7_30_2024 2_33_42 PM].csv",4.56,0.000499732,,,
"[D1-01-4um-11,Forming,23,7_30_2024 2_40_02 PM].csv",4.64,0.000499608,,,
"[D1-01-4um-12,Forming,24,7_30_2024 2_47_58 PM].csv",5.36,0.000499674,,,
