File Name,Corresponding Data Point,Maximum Subtraction,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_19 PM].csv",0.725,0.0002879,0.895536663,0.398424439,0.444900199
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_25 PM].csv",0.825,0.00024204,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_31 PM].csv",0.775,0.00034932,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_37 PM].csv",0.775,0.00023722,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_43 PM].csv",0.875,0.0002047,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_49 PM].csv",0.8,0.00025074,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_57_56 PM].csv",0.9,0.00017794,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_02 PM].csv",0.9,0.00010968,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_08 PM].csv",0.925,0.00023782,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_14 PM].csv",0.775,0.000401858,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_20 PM].csv",0.7,0.000439028,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_26 PM].csv",0.95,0.00016944,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_32 PM].csv",0.95,0.00028462,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_39 PM].csv",0.85,0.000414068,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_45 PM].csv",0.75,0.000441404,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_51 PM].csv",1,0.00022788,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_58_57 PM].csv",1,0.0001343,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_59_03 PM].csv",0.95,0.00039379,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_59_09 PM].csv",1.025,0.00018918,,,
"[A8-02-4um-01,SET-RESET,37,7_30_2024 3_59_15 PM].csv",1.025,0.00015424,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_00_33 PM].csv",1.1,0.00047532,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_00_39 PM].csv",0.975,0.00048154,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_00_45 PM].csv",1,0.000478394,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_00_51 PM].csv",0.95,0.00048013,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_00_57 PM].csv",0.825,0.000480718,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_03 PM].csv",1.05,0.000480226,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_09 PM].csv",1,0.000478334,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_15 PM].csv",0.925,0.000484892,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_21 PM].csv",0.975,0.000482666,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_28 PM].csv",1.125,0.00047859,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_34 PM].csv",0.85,0.000481282,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_40 PM].csv",1,0.00048184,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_46 PM].csv",0.925,0.000475778,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_53 PM].csv",0.95,0.000477292,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_01_59 PM].csv",0.95,0.00048183,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_02_05 PM].csv",1.05,0.000481418,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_02_11 PM].csv",0.975,0.000480844,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_02_17 PM].csv",1.1,0.000476576,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_02_23 PM].csv",0.95,0.000469798,,,
"[A8-02-4um-02,SET-RESET,38,7_30_2024 4_02_30 PM].csv",1.125,0.000467252,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_04_33 PM].csv",0.525,0.00019234,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_04_39 PM].csv",0.65,0.0001971,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_04_45 PM].csv",0.6,0.0001506,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_04_51 PM].csv",0.55,0.00011886,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_04_57 PM].csv",0.6,0.00014944,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_03 PM].csv",0.6,0.0002308,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_09 PM].csv",0.6,0.0001351,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_15 PM].csv",0.6,0.0002989,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_21 PM].csv",0.65,0.00023752,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_27 PM].csv",0.625,0.0002024,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_34 PM].csv",0.6,0.0002127,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_41 PM].csv",0.55,0.00016554,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_47 PM].csv",0.1,9.32E-05,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_53 PM].csv",0.55,0.00016432,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_05_59 PM].csv",0.675,6.71E-05,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_06_05 PM].csv",0.65,0.00023316,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_06_11 PM].csv",0.6,0.0003469,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_06_17 PM].csv",0.625,0.00012174,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_06_23 PM].csv",0.575,0.0001478,,,
"[A8-02-4um-03,SET-RESET,39,7_30_2024 4_06_30 PM].csv",0.575,0.00011796,,,
"[A8-02-4um-04,SET-RESET,40,7_30_2024 4_15_15 PM].csv",2.15,0.000357984,,,
"[A8-02-4um-04,SET-RESET,40,7_30_2024 4_15_21 PM].csv",1,0.000492668,,,
"[A8-02-4um-04,SET-RESET,40,7_30_2024 4_15_27 PM].csv",0.975,0.000493843,,,
