File Name,Corresponding Data Point,Maximum Subtraction,mean ,stdv,cov
"[B7-03-4um-01,Forming,24,7_29_2024 2_45_53 PM].csv",6.48,0.000499869,5.533913043,0.745932385,0.134792936
"[B7-03-4um-02,Forming,25,7_29_2024 2_50_05 PM].csv",5.98,0.000500017,,,
"[B7-03-4um-03,Forming,26,7_29_2024 2_53_09 PM].csv",5.74,0.000500001,,,
"[B7-03-4um-04,Forming,27,7_29_2024 2_57_42 PM].csv",5.78,0.000499972,,,
"[B7-03-4um-05,Forming,28,7_29_2024 3_01_23 PM].csv",5.86,0.000500048,,,
"[B7-03-4um-06,Forming,29,7_29_2024 3_04_47 PM].csv",5.76,0.000499881,,,
"[B7-03-4um-07,Forming,30,7_29_2024 3_08_46 PM].csv",5.96,0.00050002,,,
"[B7-03-4um-08,Forming,31,7_29_2024 3_13_42 PM].csv",5.26,0.000500004,,,
"[B7-03-4um-09,Forming,32,7_29_2024 3_16_58 PM].csv",5.48,0.000499884,,,
"[B7-03-4um-10,Forming,33,7_29_2024 3_20_23 PM].csv",5.28,0.00050002,,,
"[B7-03-4um-11,Forming,34,7_29_2024 3_23_35 PM].csv",5.22,0.000499995,,,
"[B7-03-4um-12,Forming,35,7_29_2024 3_28_52 PM].csv",5.38,0.000499979,,,
"[C3-04-4um-01,Forming,58,7_29_2024 6_20_20 PM].csv",5.82,0.000499992,,,
"[C3-04-4um-02,Forming,59,7_29_2024 6_24_55 PM].csv",5.5,0.000499998,,,
"[C3-04-4um-03,Forming,60,7_29_2024 6_29_07 PM].csv",5.7,0.000499971,,,
"[C3-04-4um-04,Forming,61,7_29_2024 6_33_26 PM].csv",6.34,0.000499959,,,
"[C3-04-4um-05,Forming,62,7_29_2024 6_38_53 PM].csv",6.34,0.000499694,,,
"[C3-04-4um-06,Forming,63,7_29_2024 6_42_16 PM].csv",6.14,0.000499964,,,
"[C3-04-4um-07,Forming,64,7_29_2024 6_45_53 PM].csv",5.74,0.000499991,,,
"[C3-04-4um-08,Forming,65,7_29_2024 6_50_35 PM].csv",6.08,0.000500013,,,
"[C3-04-4um-09,Forming,66,7_29_2024 6_53_31 PM].csv",5.44,0.000500018,,,
"[C3-04-4um-10,Forming,67,7_29_2024 6_58_56 PM].csv",5.7,0.000499983,,,
"[C3-04-4um-11,Forming,68,7_29_2024 7_02_22 PM].csv",6.08,0.000500019,,,
"[C3-04-4um-12,Forming,69,7_29_2024 7_06_34 PM].csv",5.92,0.000500023,,,
"[D1-01-4um-01,Forming,36,7_29_2024 4_04_48 PM].csv",5.68,0.000499976,,,
"[D1-01-4um-02,Forming,37,7_29_2024 4_08_47 PM].csv",5.36,0.000499918,,,
"[D1-01-4um-03,Forming,38,7_29_2024 4_11_41 PM].csv",5.26,0.000499783,,,
"[D1-01-4um-04,Forming,39,7_29_2024 4_15_09 PM].csv",5.26,0.000499978,,,
"[D1-01-4um-05,Forming,40,7_29_2024 4_18_47 PM].csv",5.52,0.000499965,,,
"[D1-01-4um-06,Forming,41,7_29_2024 4_22_17 PM].csv",5.28,0.00050001,,,
"[D1-01-4um-07,Forming,42,7_29_2024 4_30_28 PM].csv",5.02,0.00049999,,,
"[D1-01-4um-08,Forming,43,7_29_2024 4_33_45 PM].csv",1.16,0.00013062,,,
"[D1-01-4um-09,Forming,44,7_29_2024 4_36_53 PM].csv",5.44,0.000499669,,,
"[D1-01-4um-10,Forming,45,7_29_2024 4_40_05 PM].csv",5.08,0.000499986,,,
"[D1-01-4um-12,Forming,46,7_29_2024 4_46_31 PM].csv",4.96,0.000499956,,,
"[D4-02-4um-01,Forming,47,7_29_2024 5_00_51 PM].csv",5.9,0.000499835,,,
"[D4-02-4um-02,Forming,48,7_29_2024 5_09_15 PM].csv",5.8,0.000499977,,,
"[D4-02-4um-03,Forming,49,7_29_2024 5_14_19 PM].csv",5.56,0.000499996,,,
"[D4-02-4um-04,Forming,50,7_29_2024 5_31_33 PM].csv",5.48,0.000499887,,,
"[D4-02-4um-05,Forming,51,7_29_2024 5_36_29 PM].csv",5.46,0.000500019,,,
"[D4-02-4um-06,Forming,52,7_29_2024 5_39_23 PM].csv",5.56,0.00049992,,,
"[D4-02-4um-07,Forming,53,7_29_2024 5_45_44 PM].csv",5.36,0.000500023,,,
"[D4-02-4um-08,Forming,54,7_29_2024 5_49_05 PM].csv",5.34,0.000499866,,,
"[D4-02-4um-09,Forming,55,7_29_2024 5_54_02 PM].csv",5.44,0.000499953,,,
"[D4-02-4um-10,Forming,56,7_29_2024 5_58_14 PM].csv",5.32,0.000499977,,,
"[D4-02-4um-12,Forming,57,7_29_2024 6_03_11 PM].csv",6.34,0.000499956,,,
