File Name,Corresponding Data Point,Maximum Subtraction
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_02 PM].csv",1.05,0.00018034000000000003
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_08 PM].csv",0.925,9.162e-05
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_14 PM].csv",0.875,0.00028062
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_20 PM].csv",0.825,0.00027094
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_26 PM].csv",0.75,0.000462386
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_33 PM].csv",0.95,0.00016938
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_39 PM].csv",0.725,0.000478102
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_46 PM].csv",0.675,0.000489407
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_52 PM].csv",0.875,0.00032868000000000003
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_46_58 PM].csv",0.85,0.00029192
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_05 PM].csv",1.0,0.00018924000000000002
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_11 PM].csv",1.025,0.00017092000000000002
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_17 PM].csv",0.825,0.00040123
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_23 PM].csv",0.825,0.00048547
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_30 PM].csv",0.675,0.0004912951
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_36 PM].csv",0.725,0.000484708
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_43 PM].csv",0.8,0.000481996
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_49 PM].csv",0.75,0.00047194
"[B7-03-4um-01,SET-RESET,24,7_29_2024 2_47_55 PM].csv",0.75,0.00048586
