folder,device_id,cycle_count,cycle_delta_from_20,total_blocks,set_blocks,reset_blocks,first_record_time,last_record_time,first_file,last_file,measurement_ids,total_devices_in_folder,total_cycles_in_folder
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-02,20,0,60,20,40,2024-08-30 14:12:59,2024-08-30 14:15:03,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_12_59 PM].csv","[A8-04-4um-02,SET-RESET,2,8_30_2024 2_15_03 PM].csv",2,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-03,20,0,60,20,40,2024-08-30 14:20:53,2024-08-30 14:22:51,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_20_53 PM].csv","[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_51 PM].csv",3,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-04,2,-18,6,2,4,2024-08-30 14:28:18,2024-08-30 14:28:26,"[A8-04-4um-04,SET-RESET,4,8_30_2024 2_28_18 PM].csv","[A8-04-4um-04,SET-RESET,4,8_30_2024 2_28_26 PM].csv",4,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-05,20,0,60,20,40,2024-08-30 14:29:25,2024-08-30 14:31:26,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_25 PM].csv","[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_26 PM].csv",5,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-06,20,0,60,20,40,2024-08-30 14:32:23,2024-08-30 14:34:22,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_23 PM].csv","[A8-04-4um-06,SET-RESET,6,8_30_2024 2_34_22 PM].csv",6,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-07,20,0,60,20,40,2024-08-30 14:35:44,2024-08-30 14:37:42,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_35_44 PM].csv","[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_42 PM].csv",7,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-08,20,0,60,20,40,2024-08-30 14:39:09,2024-08-30 14:41:10,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_09 PM].csv","[A8-04-4um-08,SET-RESET,8,8_30_2024 2_41_10 PM].csv",8,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-09,20,0,60,20,40,2024-08-30 14:42:57,2024-08-30 14:44:58,"[A8-04-4um-09,SET-RESET,9,8_30_2024 2_42_57 PM].csv","[A8-04-4um-09,SET-RESET,9,8_30_2024 2_44_58 PM].csv",9,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-10,20,0,60,20,40,2024-08-30 14:46:31,2024-08-30 14:48:35,"[A8-04-4um-10,SET-RESET,10,8_30_2024 2_46_31 PM].csv","[A8-04-4um-10,SET-RESET,10,8_30_2024 2_48_35 PM].csv",10,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,A8-04-4um-11,20,0,60,20,40,2024-08-30 14:49:53,2024-08-30 14:51:51,"[A8-04-4um-11,SET-RESET,11,8_30_2024 2_49_53 PM].csv","[A8-04-4um-11,SET-RESET,11,8_30_2024 2_51_51 PM].csv",11,57,1099
