parameter,value,loss
I0,0.0028259925,78.545913
I0,0.0033521499,74.876179
I0,0.0038783073,71.256577
I0,0.0044044647,46.577435
I0,0.0049306221,46.921395
I0,0.0054567795,47.244428
I0,0.0059829369,47.665489
g0,2.3171775e-10,110.11485
g0,2.6505108e-10,90.717647
g0,2.9838441e-10,75.993643
g0,3.3171775e-10,46.577435
g0,3.6505108e-10,46.795639
g0,3.9838441e-10,47.038636
g0,4.3171775e-10,47.385074
Rs,10,73.88384
Rs,157.99226,71.49703
Rs,325.50791,46.577435
Rs,453.97679,46.666229
Rs,601.96906,46.760125
Rs,749.96132,46.989729
Rs,897.95358,47.346548
V0_set,0.74888923,47.660359
V0_set,0.83249455,47.206929
V0_set,0.91609987,46.846128
V0_set,0.99970519,46.577435
V0_set,1.0833105,46.400435
V0_set,1.1669158,46.315198
V0_set,1.2505211,46.324341
V0_res,0.89391301,47.49852
V0_res,0.97751833,47.141023
V0_res,1.0611236,46.875774
V0_res,1.144729,46.577435
V0_res,1.2283343,70.825389
V0_res,1.3119396,73.088369
V0_res,1.3955449,75.020976
gamma0_set,4,47.321004
gamma0_set,7.3333333,46.640558
gamma0_set,10.666667,46.599714
gamma0_set,15.103028,46.577435
gamma0_set,17.333333,46.576538
gamma0_set,20.666667,46.587299
gamma0_set,24,46.610908
Ea_set,0.10771973,46.638714
Ea_set,0.25476644,46.566407
Ea_set,0.40181315,46.518317
Ea_set,0.54885986,46.498272
Ea_set,0.69590658,46.520499
Ea_set,0.90771973,46.577435
Ea_set,0.99,46.613319
Ea_res,0.10392239,78.86169
Ea_res,0.251602,78.783745
Ea_res,0.3992816,78.733062
Ea_res,0.5469612,77.045411
Ea_res,0.6946408,72.391831
Ea_res,0.90392239,46.577435
Ea_res,0.99,46.739008
F_min_set,5e+08,46.997039
F_min_set,7.4596096e+08,46.780353
F_min_set,9.9192192e+08,46.632258
F_min_set,1.1357658e+09,46.577435
F_min_set,1.4838438e+09,46.541841
F_min_set,1.7298048e+09,46.599519
F_min_set,1.9757658e+09,46.725788
F_min_res,6.6106857e+08,46.881162
F_min_res,9.4106857e+08,46.691025
F_min_res,1.2210686e+09,46.589778
F_min_res,1.5010686e+09,46.577435
F_min_res,1.7810686e+09,46.654242
F_min_res,2.0610686e+09,46.824702
F_min_res,2.3410686e+09,47.114215
Vel0_set,0.1,46.960778
Vel0_set,3.1708495,46.755286
Vel0_set,6.2416989,46.625234
Vel0_set,8.5250968,46.577435
Vel0_set,12.383398,46.591455
Vel0_set,15.454247,46.687727
Vel0_set,18.525097,46.85944
Vel0_res,0.19676324,46.577435
Vel0_res,1.7827939,70.005536
Vel0_res,3.4655877,70.247678
Vel0_res,5.1483816,70.171037
Vel0_res,6.8311755,70.476677
Vel0_res,8.5139694,70.445344
Vel0_res,10.196763,70.436666
gap_max_set,1.1645652e-09,46.891348
gap_max_set,1.3645652e-09,46.697822
gap_max_set,1.5645652e-09,46.593184
gap_max_set,1.7645652e-09,46.577435
gap_max_set,1.9645652e-09,46.650575
gap_max_set,2.1645652e-09,46.812604
gap_max_set,2.3645652e-09,47.063522
gap_max_res,1e-09,47.110534
gap_max_res,1.1998251e-09,46.844062
gap_max_res,1.3996503e-09,46.666323
gap_max_res,1.5989509e-09,46.577435
gap_max_res,1.7993006e-09,46.577046
gap_max_res,1.9991257e-09,46.665508
gap_max_res,2.1989509e-09,46.842703
gap_ini_set,5e-10,46.748065
gap_ini_set,6.3552517e-10,46.599222
gap_ini_set,7.1315103e-10,46.577435
gap_ini_set,9.0657552e-10,46.822732
gap_ini_set,1.0421007e-09,47.299353
gap_ini_set,1.1776259e-09,48.021045
gap_ini_set,1.313151e-09,49.080374
gap_ini_res,5e-11,46.78909
gap_ini_res,8.2262037e-11,46.577435
gap_ini_res,9.4087346e-11,68.102606
gap_ini_res,1.1613102e-10,69.430647
gap_ini_res,1.3817469e-10,70.175987
gap_ini_res,1.6021836e-10,70.270997
gap_ini_res,1.8226204e-10,70.748501
