parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0016905324,1,2.59142e+06,non_identifiable,,1/1
g0,3.3658021e-10,1,2.177e+13,non_identifiable,,1/1
beta,1.25,0,Inf,non_identifiable,,1/1
Rth,2100,0,Inf,non_identifiable,,1/1
gap_min,1e-10,0,1.72562e+14,non_identifiable,,1/1
tox,7e-09,0,Inf,non_identifiable,,1/1
Rs,982.6586,1,0.00387652,identifiable,,1/1
V0_set,1.147773,1,1.07644,weakly_identifiable,,1/1
V0_res,0.82676568,1,3.43448,non_identifiable,,1/1
gamma0_set,5.574267,1,Inf,non_identifiable,,1/1
gamma0_res,5.4357353,0,Inf,non_identifiable,,1/1
Ea_set,0.38747275,1,Inf,non_identifiable,,1/1
Ea_res,0.44987861,1,Inf,non_identifiable,,1/1
F_min_set,1.4517699e+09,1,Inf,non_identifiable,,1/1
F_min_res,1.7108714e+09,1,Inf,non_identifiable,,1/1
Vel0_set,1.6630439,1,Inf,non_identifiable,,1/1
Vel0_res,1.9227725,1,Inf,non_identifiable,,1/1
gap_max_set,1.7025857e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.6911814e-09,1,Inf,non_identifiable,,1/1
gap_ini_set,7.7017062e-10,1,1.01258e+13,non_identifiable,,1/1
gap_ini_res,8.9146939e-11,1,Inf,non_identifiable,,1/1
