parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0041279812,1,0.25,not_evaluated,,1/1
g0,4.0901746e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,35.417165,1,0.5,not_evaluated,,1/1
V0_set,0.85243737,1,0.1,not_evaluated,,1/1
V0_res,0.85788453,1,0.1,not_evaluated,,1/1
gamma0_set,7.2095793,1,0.4,not_evaluated,,1/1
gamma0_res,5.0717443,0,0.4,not_evaluated,,1/1
Ea_set,0.12583275,1,1.4336,not_evaluated,,1/1
Ea_res,0.63279117,1,1.40598,not_evaluated,,1/1
F_min_set,7.8603037e+08,1,0.3,not_evaluated,,1/1
F_min_res,7.4204519e+08,1,0.3,not_evaluated,,1/1
Vel0_set,0.74978751,1,0.5,not_evaluated,,1/1
Vel0_res,0.12260924,1,0.5,not_evaluated,,1/1
gap_max_set,1.488358e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.0374518e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,5.6728057e-10,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.5227486e-10,1,0.5,not_evaluated,,1/1
