parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0010883703,1,2.79178,not_evaluated,,0/0
g0,2.0730422e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,10.562144,1,0.5,not_evaluated,,0/0
V0_set,1.9427829,1,1.92015,not_evaluated,,0/0
V0_res,0.32174644,1,1.92015,not_evaluated,,0/0
gamma0_set,7.388026,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.24394666,1,0.666667,not_evaluated,,0/0
Ea_res,0.97292803,1,0.666667,not_evaluated,,0/0
F_min_set,9.0222683e+08,1,0.3,not_evaluated,,0/0
F_min_res,2.0539955e+09,1,0.3,not_evaluated,,0/0
Vel0_set,5.8137936,1,0.5,not_evaluated,,0/0
Vel0_res,7.7228319,1,0.5,not_evaluated,,0/0
gap_max_set,1.4606864e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.231536e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,9.3071469e-10,1,0.214286,not_evaluated,,0/0
gap_ini_res,1.2384826e-10,1,0.5,not_evaluated,,0/0
