parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0080826852,1,Inf,not_evaluated,,1/1
g0,4.1032675e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,18.359687,1,Inf,not_evaluated,,1/1
V0_set,0.5172923,1,Inf,not_evaluated,,1/1
V0_res,0.95314441,1,Inf,not_evaluated,,1/1
gamma0_set,4.7902877,1,Inf,not_evaluated,,1/1
gamma0_res,10.517014,0,Inf,not_evaluated,,1/1
Ea_set,0.56231066,1,Inf,not_evaluated,,1/1
Ea_res,0.78038533,1,Inf,not_evaluated,,1/1
F_min_set,2.8528695e+09,1,Inf,not_evaluated,,1/1
F_min_res,5.2795525e+08,1,Inf,not_evaluated,,1/1
Vel0_set,19.804175,1,Inf,not_evaluated,,1/1
Vel0_res,0.12295119,1,Inf,not_evaluated,,1/1
gap_max_set,1.7471154e-09,1,Inf,not_evaluated,,1/1
gap_max_res,7.5245856e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.9545536e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,4.7543602e-10,1,Inf,not_evaluated,,1/1
