condition,variant,rmse_set_dec,rmse_res_dec,fval
S1,physics_regime_bo,0.5004,0.6890,26.0865
S1,physics_bo,0.4923,0.6408,18.7888
S1,plain_bo,0.5112,0.6391,16.7440
S1,physics_nobo,0.5704,1.6514,nan
S2,physics_regime_bo,0.7716,1.0165,47.0505
S2,physics_bo,0.7667,1.0285,46.8529
S2,plain_bo,0.7659,1.0160,40.4714
S2,physics_nobo,0.9125,2.2143,nan
S3,physics_regime_bo,0.5657,0.6586,27.1163
S3,physics_bo,0.5432,0.6940,21.7432
S3,plain_bo,0.5297,0.6773,18.4816
S3,physics_nobo,0.5163,1.2356,nan
S4,physics_regime_bo,0.5137,0.7299,34.4043
S4,physics_bo,0.6069,0.7326,25.2891
S4,plain_bo,0.5356,0.7047,19.5862
S4,physics_nobo,0.5582,1.0998,nan
S5,physics_regime_bo,0.5079,0.8048,28.5356
S5,physics_bo,0.5148,0.8090,25.2133
S5,plain_bo,0.4991,0.8055,22.4496
S5,physics_nobo,0.6193,1.9860,nan
S6,physics_regime_bo,0.4684,0.6499,26.6373
S6,physics_bo,0.4934,0.6332,19.7505
S6,plain_bo,0.4735,0.6490,16.1355
S6,physics_nobo,0.5301,1.6363,nan
S7,physics_regime_bo,0.4767,0.7256,30.3821
S7,physics_bo,0.5030,0.7217,23.0914
S7,plain_bo,0.5368,0.7418,20.9619
S7,physics_nobo,0.5227,1.5104,nan
S8,physics_regime_bo,0.4948,1.0013,43.8212
S8,physics_bo,0.5049,0.9721,34.7478
S8,plain_bo,0.4938,0.9987,31.0319
S8,physics_nobo,0.5557,2.1530,nan
S9,physics_regime_bo,0.5105,0.6997,32.8418
S9,physics_bo,0.5355,0.7055,22.0764
S9,plain_bo,0.4971,0.6990,18.3931
S9,physics_nobo,0.4787,0.9078,nan
S10,physics_regime_bo,0.5081,0.7182,793.6338
S10,physics_bo,0.5565,0.7147,783.2560
S10,plain_bo,0.5533,0.6941,780.1985
S10,physics_nobo,0.5871,1.2522,nan
S11,physics_regime_bo,0.4935,0.7534,35.1830
S11,physics_bo,0.5152,0.7477,23.9191
S11,plain_bo,0.5124,0.7503,20.6369
S11,physics_nobo,0.4997,1.6390,nan
S12,physics_regime_bo,0.5483,0.6807,27.8813
S12,physics_bo,0.5159,0.6680,20.0772
S12,plain_bo,0.5317,0.6862,18.8393
S12,physics_nobo,0.5017,1.0482,nan
