condition,o2_pct,power_W,parameter,theta,ci_lo,ci_hi,cv
S1,20.0,75.0,Rs,203.248,10.0838,2798.1,1.5
S2,20.0,250.0,Rs,596.747,10.1217,2334.89,0.9964
S3,35.0,75.0,Rs,43.3229,10.0323,1463.88,1.75
S4,35.0,250.0,Rs,37.7272,10.0793,2529.54,2.698
S5,20.0,162.5,Rs,65.525,10.1444,2476.5,1.73
S6,35.0,162.5,Rs,407.311,11.0777,9783.82,1.525
S7,27.5,75.0,Rs,160.533,10.9043,2522.75,1.322
S8,27.5,250.0,Rs,508.381,10.7603,3399.68,1.136
S9,27.5,162.5,Rs,494.255,10.1891,1917.19,1.018
S10,27.5,162.5,Rs,44.5457,10.0257,2085.21,2.055
S11,27.5,162.5,Rs,196.274,10.6065,3309.25,1.388
S12,27.5,162.5,Rs,338.001,10.4546,3175.18,1.206
S1,20.0,75.0,V0_set,1.07269,0.510006,1.70173,0.2953
S2,20.0,250.0,V0_set,0.626818,0.425414,0.95812,0.228
S3,35.0,75.0,V0_set,1.51659,0.120934,1.9599,0.3111
S4,35.0,250.0,V0_set,1.16502,0.0688525,1.98133,0.5878
S5,20.0,162.5,V0_set,0.551545,0.361448,0.958229,0.2637
S6,35.0,162.5,V0_set,0.846219,0.55816,1.36184,0.2645
S7,27.5,75.0,V0_set,1.01086,0.707907,1.40552,0.2062
S8,27.5,250.0,V0_set,0.701045,0.529245,1.05045,0.2057
S9,27.5,162.5,V0_set,0.920622,0.0706633,1.9141,0.6217
S10,27.5,162.5,V0_set,0.778334,0.0780766,1.94605,0.7113
S11,27.5,162.5,V0_set,0.942129,0.613857,1.33717,0.2169
S12,27.5,162.5,V0_set,1.03703,0.0607369,1.90713,0.6766
S1,20.0,75.0,V0_res,1.05616,0.398156,1.72875,0.2812
S2,20.0,250.0,V0_res,0.611411,0.407019,0.986771,0.2532
S3,35.0,75.0,V0_res,1.46869,0.359029,1.96905,0.2788
S4,35.0,250.0,V0_res,1.13722,0.0810984,1.98253,0.5353
S5,20.0,162.5,V0_res,0.477298,0.325028,0.865816,0.28
S6,35.0,162.5,V0_res,0.885395,0.600772,1.416,0.2548
S7,27.5,75.0,V0_res,0.898955,0.689601,1.39714,0.2212
S8,27.5,250.0,V0_res,0.677726,0.530154,1.06402,0.2121
S9,27.5,162.5,V0_res,1.08112,0.0969362,1.96198,0.5668
S10,27.5,162.5,V0_res,1.119,0.0799327,1.98225,0.5498
S11,27.5,162.5,V0_res,0.852581,0.63213,1.26781,0.202
S12,27.5,162.5,V0_res,1.04022,0.0752103,1.87511,0.5309
