condition,o2_pct,power_W,eps_r_dyn,eps_ci_lo,eps_ci_hi,n_cycles
S1,20.0,75.0,24.711775861966,17.498864701185017,25.711443272696695,37
S2,20.0,250.0,24.6082493686343,22.41218988493627,27.40124900493185,101
S3,35.0,75.0,16.767333714775376,15.49881092555702,18.34642325690778,40
S4,35.0,250.0,18.98837301850773,17.400801811829368,19.801292824894524,20
S5,20.0,162.5,13.248561372573274,12.487395554864856,14.362466304076351,20
S6,35.0,162.5,23.456531579737067,22.399909043652144,26.316539865001097,20
S7,27.5,75.0,14.317529770724878,12.74073018994885,15.016867838419955,20
S8,27.5,250.0,5.317462692997335,4.85617042958765,5.53686452732957,20
S9,27.5,162.5,22.333407722638267,20.854990191267035,23.212153348413246,20
S10,27.5,162.5,18.726470647975233,17.304808988360705,19.695366798250255,20
S11,27.5,162.5,11.96392032572843,11.322986194373371,12.252993784740704,96
S12,27.5,162.5,21.37399355480624,20.809368485054513,21.8149928796959,40
