condition,device_id,split,is_fitted_device
S1,A8-04-4um-02,test,0
S1,A8-04-4um-03,test,0
S1,A8-04-4um-04,train,0
S1,A8-04-4um-05,train,0
S1,A8-04-4um-06,train,0
S1,A8-04-4um-07,train,0
S1,A8-04-4um-08,val,0
S1,A8-04-4um-09,train,0
S1,A8-04-4um-10,train,0
S1,A8-04-4um-11,train,0
S1,A8-04-4um-12,val,0
S1,B6-01-4um-01,val,0
S1,B6-01-4um-02,test,0
S1,B6-01-4um-03,test,0
S1,B6-01-4um-04,train,0
S1,B6-01-4um-05,test,0
S1,B6-01-4um-06,train,0
S1,B6-01-4um-07,train,0
S1,B6-01-4um-08,val,0
S1,B6-01-4um-09,val,0
S1,B6-01-4um-10,val,0
S1,B6-01-4um-11,test,0
S1,B6-01-4um-12,train,1
S1,B6-03-4um-01,val,0
S1,B6-03-4um-02,train,0
S1,B6-03-4um-03,train,0
S1,B6-03-4um-04,val,0
S1,B6-03-4um-05,train,0
S1,B6-03-4um-06,val,0
S1,B6-03-4um-07,test,0
S1,B6-03-4um-08,test,0
S1,B6-03-4um-09,train,0
S1,B6-03-4um-12,train,0
S1,D1-01-4um-01,test,0
S1,D1-01-4um-02,train,0
S1,D1-01-4um-03,train,0
S1,D1-01-4um-04,train,0
S1,D1-01-4um-05,train,0
S1,D1-01-4um-06,train,0
S1,D1-01-4um-07,val,0
S1,D1-01-4um-08,train,0
S1,D1-01-4um-09,val,0
S1,D1-01-4um-10,train,0
S1,D1-01-4um-11,train,0
S1,D1-01-4um-12,train,0
S1,D4-01-4um-01,train,0
S1,D4-01-4um-02,test,0
S1,D4-01-4um-03,train,0
S1,D4-01-4um-04,train,0
S1,D4-01-4um-05,test,0
S1,D4-01-4um-06,train,0
S1,D4-01-4um-07,train,0
S1,D4-01-4um-08,train,0
S1,D4-01-4um-09,train,0
S1,D4-01-4um-10,train,0
S1,D4-01-4um-11,train,0
S1,D4-01-4um-12,train,0
S2,C2-1-4um-01,test,0
S2,C2-1-4um-02,train,0
S2,C2-1-4um-03,val,0
S2,C2-1-4um-04,val,0
S2,C2-1-4um-06,val,0
S2,C2-2-4um-01,train,0
S2,C2-2-4um-02,test,0
S2,C2-2-4um-03,train,0
S2,C2-2-4um-04,train,0
S2,C2-2-4um-05,train,0
S2,C2-2-4um-06,train,0
S2,C2-2-4um-07,train,0
S2,C2-2-4um-08,train,0
S2,C2-2-4um-10,train,0
S2,C2-2-4um-11,val,0
S2,C3-1-4um-01,test,0
S2,C3-1-4um-02,train,0
S2,C3-1-4um-03,train,0
S2,C3-1-4um-04,train,0
S2,C3-1-4um-05,train,1
S2,C3-1-4um-06,test,0
S2,C3-1-4um-07,val,0
S2,C3-1-4um-10,train,0
S2,C3-1-4um-11,val,0
S2,D1-1-4um-01,val,0
S2,D1-1-4um-02,train,0
S2,D1-1-4um-03,train,0
S2,D1-1-4um-04,train,0
S2,D1-1-4um-05,test,0
S2,D1-1-4um-06,train,0
S2,D1-1-4um-07,train,0
S2,D1-1-4um-08,test,0
S2,D1-1-4um-09,test,0
S2,D1-1-4um-10,train,0
S2,D1-1-4um-11,train,0
S2,D1-2-4um-01,test,0
S2,D1-2-4um-04,train,0
S2,D1-2-4um-05,val,0
S2,D1-2-4um-06,val,0
S2,D1-2-4um-07,train,0
S2,D1-2-4um-08,test,0
S2,D1-2-4um-09,train,0
S2,D1-2-4um-10,train,0
S2,D1-2-4um-11,train,0
S2,D1-2-4um-12,train,0
S3,A3-02-4um-01,train,0
S3,A3-02-4um-02,train,0
S3,A3-02-4um-03,train,0
S3,A3-02-4um-04,test,0
S3,A3-02-4um-05,test,0
S3,A3-02-4um-06,train,0
S3,A3-02-4um-07,train,0
S3,A3-02-4um-08,train,0
S3,A3-02-4um-09,train,0
S3,A3-02-4um-10,val,0
S3,A3-02-4um-11,train,0
S3,A3-02-4um-12,test,0
S3,A8-02-4um-01,train,1
S3,A8-02-4um-02,train,0
S3,A8-02-4um-03,val,0
S3,A8-02-4um-04,train,0
S3,A8-02-4um-05,train,0
S3,A8-02-4um-06,val,0
S3,A8-02-4um-07,train,0
S3,A8-02-4um-08,test,0
S3,A8-02-4um-09,train,0
S3,A8-02-4um-10,train,0
S3,A8-02-4um-11,train,0
S3,A8-02-4um-12,train,0
S3,A8-04-4um-01,val,0
S3,A8-04-4um-02,train,0
S3,A8-04-4um-03,train,0
S3,A8-04-4um-04,test,0
S3,A8-04-4um-05,train,0
S3,A8-04-4um-06,train,0
S3,A8-04-4um-07,train,0
S3,A8-04-4um-08,train,0
S3,A8-04-4um-09,train,0
S3,A8-04-4um-10,train,0
S3,A8-04-4um-11,test,0
S3,A8-04-4um-12,train,0
S3,B6-01-4um-01,train,0
S3,B6-01-4um-02,train,0
S3,B6-01-4um-03,train,0
S3,B6-01-4um-04,val,0
S3,B6-01-4um-05,val,0
S3,B6-01-4um-06,train,0
S3,B6-01-4um-07,test,0
S3,B6-01-4um-09,val,0
S3,B6-01-4um-10,test,0
S3,B6-01-4um-12,train,0
S3,C3-01-4um-01,val,0
S3,C3-01-4um-02,train,0
S3,C3-01-4um-03,test,0
S3,C3-01-4um-04,test,0
S3,C3-01-4um-05,test,0
S3,C3-01-4um-06,train,0
S3,C3-01-4um-07,train,0
S3,C3-01-4um-08,train,0
S3,C3-01-4um-09,train,0
S3,C3-01-4um-10,train,0
S3,C3-01-4um-11,train,0
S3,C3-01-4um-12,train,0
S3,C3-02-4um-01,test,0
S3,C3-02-4um-02,train,0
S3,C3-02-4um-03,train,0
S3,C3-02-4um-04,train,0
S3,C3-02-4um-05,train,0
S3,C3-02-4um-06,train,0
S3,C3-02-4um-07,train,0
S3,C3-02-4um-08,train,0
S3,C3-02-4um-09,val,0
S3,C3-02-4um-10,val,0
S3,C3-02-4um-11,train,0
S3,C3-02-4um-12,val,0
S3,C3-04-4um-05,val,0
S3,C3-04-4um-06,train,0
S3,C3-04-4um-07,val,0
S3,C3-04-4um-08,test,0
S3,C3-04-4um-09,test,0
S3,C3-04-4um-10,train,0
S3,C3-04-4um-11,train,0
S3,C3-04-4um-12,val,0
S3,C5-02-4um-01,test,0
S3,C5-02-4um-02,train,0
S3,C5-02-4um-03,val,0
S3,C5-02-4um-04,val,0
S3,C5-02-4um-05,val,0
S3,C5-02-4um-06,test,0
S3,C5-02-4um-07,train,0
S3,C5-02-4um-08,test,0
S3,C5-02-4um-09,train,0
S3,C5-02-4um-11,train,0
S3,C5-02-4um-12,val,0
S3,D1-02-4um-01,test,0
S3,D1-02-4um-02,train,0
S3,D1-02-4um-03,train,0
S3,D1-02-4um-04,val,0
S3,D1-02-4um-05,test,0
S3,D1-02-4um-06,train,0
S3,D1-02-4um-07,train,0
S3,D1-02-4um-08,test,0
S3,D1-02-4um-09,train,0
S3,D1-02-4um-10,test,0
S3,D1-02-4um-11,train,0
S3,D1-02-4um-12,val,0
S3,c3-04-4um-01,train,0
S3,c3-04-4um-02,val,0
S3,c3-04-4um-03,train,0
S4,A8-02-4um-01,train,0
S4,A8-02-4um-02,train,0
S4,A8-02-4um-03,train,1
S4,A8-02-4um-04,train,0
S4,A8-02-4um-05,train,0
S4,A8-02-4um-06,train,0
S4,A8-02-4um-07,train,0
S4,A8-02-4um-08,test,0
S4,A8-02-4um-09,train,0
S4,A8-02-4um-10,val,0
S4,B6-01-4um-02,test,0
S4,B6-01-4um-03,test,0
S4,B6-01-4um-04,train,0
