condition,device_id,total_cycles,good_cycles
S1,A8-04-4um-02,20,20
S1,A8-04-4um-03,20,20
S1,A8-04-4um-04,2,2
S1,A8-04-4um-05,20,20
S1,A8-04-4um-06,20,20
S1,A8-04-4um-07,20,20
S1,A8-04-4um-08,20,20
S1,A8-04-4um-09,20,20
S1,A8-04-4um-10,20,20
S1,A8-04-4um-11,20,20
S1,A8-04-4um-12,20,20
S1,B6-01-4um-01,20,20
S1,B6-01-4um-02,1,1
S1,B6-01-4um-03,20,20
S1,B6-01-4um-04,20,20
S1,B6-01-4um-05,20,20
S1,B6-01-4um-06,20,20
S1,B6-01-4um-07,1,1
S1,B6-01-4um-08,20,20
S1,B6-01-4um-09,20,20
S1,B6-01-4um-10,20,20
S1,B6-01-4um-11,20,20
S1,B6-01-4um-12,40,40
S1,B6-03-4um-01,20,20
S1,B6-03-4um-02,20,20
S1,B6-03-4um-03,20,20
S1,B6-03-4um-04,20,20
S1,B6-03-4um-05,20,20
S1,B6-03-4um-06,20,20
S1,B6-03-4um-07,20,20
S1,B6-03-4um-08,20,20
S1,B6-03-4um-09,19,19
S1,B6-03-4um-12,16,16
S1,D1-01-4um-01,20,20
S1,D1-01-4um-02,20,20
S1,D1-01-4um-03,20,20
S1,D1-01-4um-04,20,20
S1,D1-01-4um-05,20,20
S1,D1-01-4um-06,20,20
S1,D1-01-4um-07,20,20
S1,D1-01-4um-08,20,20
S1,D1-01-4um-09,20,20
S1,D1-01-4um-10,20,20
S1,D1-01-4um-11,20,20
S1,D1-01-4um-12,20,20
S1,D4-01-4um-01,20,20
S1,D4-01-4um-02,20,20
S1,D4-01-4um-03,20,20
S1,D4-01-4um-04,20,20
S1,D4-01-4um-05,20,20
S1,D4-01-4um-06,20,20
S1,D4-01-4um-07,20,20
S1,D4-01-4um-08,20,20
S1,D4-01-4um-09,20,20
S1,D4-01-4um-10,20,20
S1,D4-01-4um-11,20,20
S1,D4-01-4um-12,20,20
S2,C2-1-4um-01,20,20
S2,C2-1-4um-02,20,20
S2,C2-1-4um-03,20,20
S2,C2-1-4um-04,6,6
S2,C2-1-4um-06,20,20
S2,C2-2-4um-01,20,20
S2,C2-2-4um-02,20,20
S2,C2-2-4um-03,20,20
S2,C2-2-4um-04,20,20
S2,C2-2-4um-05,20,20
S2,C2-2-4um-06,20,20
S2,C2-2-4um-07,20,20
S2,C2-2-4um-08,20,20
S2,C2-2-4um-10,20,20
S2,C2-2-4um-11,20,20
S2,C3-1-4um-01,100,100
S2,C3-1-4um-02,18,18
S2,C3-1-4um-03,63,63
S2,C3-1-4um-04,101,101
S2,C3-1-4um-05,101,101
S2,C3-1-4um-06,50,50
S2,C3-1-4um-07,1,1
S2,C3-1-4um-10,1,1
S2,C3-1-4um-11,1,1
S2,D1-1-4um-01,1,1
S2,D1-1-4um-02,50,50
S2,D1-1-4um-03,20,20
S2,D1-1-4um-04,20,20
S2,D1-1-4um-05,20,20
S2,D1-1-4um-06,20,20
S2,D1-1-4um-07,20,20
S2,D1-1-4um-08,20,20
S2,D1-1-4um-09,20,20
S2,D1-1-4um-10,20,20
S2,D1-1-4um-11,20,20
S2,D1-2-4um-01,20,20
S2,D1-2-4um-04,20,20
S2,D1-2-4um-05,20,20
S2,D1-2-4um-06,20,20
S2,D1-2-4um-07,20,20
S2,D1-2-4um-08,20,20
S2,D1-2-4um-09,20,20
S2,D1-2-4um-10,20,20
S2,D1-2-4um-11,20,20
S2,D1-2-4um-12,20,20
S3,A3-02-4um-01,20,20
S3,A3-02-4um-02,4,4
S3,A3-02-4um-03,20,20
S3,A3-02-4um-04,20,20
S3,A3-02-4um-05,20,20
S3,A3-02-4um-06,20,20
S3,A3-02-4um-07,20,20
S3,A3-02-4um-08,20,20
S3,A3-02-4um-09,20,20
S3,A3-02-4um-10,20,20
S3,A3-02-4um-11,20,20
S3,A3-02-4um-12,20,20
S3,A8-02-4um-01,40,40
S3,A8-02-4um-02,20,20
S3,A8-02-4um-03,20,20
S3,A8-02-4um-04,20,20
S3,A8-02-4um-05,20,20
S3,A8-02-4um-06,20,20
S3,A8-02-4um-07,3,3
S3,A8-02-4um-08,20,20
S3,A8-02-4um-09,19,19
S3,A8-02-4um-10,8,8
S3,A8-02-4um-11,20,20
S3,A8-02-4um-12,20,20
S3,A8-04-4um-01,20,20
S3,A8-04-4um-02,20,20
S3,A8-04-4um-03,20,20
S3,A8-04-4um-04,20,20
S3,A8-04-4um-05,20,20
S3,A8-04-4um-06,20,20
S3,A8-04-4um-07,20,20
S3,A8-04-4um-08,20,20
S3,A8-04-4um-09,20,20
S3,A8-04-4um-10,20,20
