condition,device_id,cycle_id,file,is_good,quality_score,reject_reason,has_set,has_reset
S1,A8-04-4um-02,1,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_12_59 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,2,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_06 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,3,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_12 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,4,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_18 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,5,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_24 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,6,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_31 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,7,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_37 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,8,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_44 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,9,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_50 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,10,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_13_57 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,11,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_04 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,12,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_11 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,13,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_17 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,14,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_23 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,15,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_30 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,16,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_36 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,17,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_42 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,18,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_49 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,19,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_14_56 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-02,20,"[A8-04-4um-02,SET-RESET,2,8_30_2024 2_15_03 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-03,1,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_20_53 PM].csv",True,8.9716,accepted,1,1
S1,A8-04-4um-03,2,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_00 PM].csv",True,8.7447,accepted,1,1
S1,A8-04-4um-03,3,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_06 PM].csv",True,8.73,accepted,1,1
S1,A8-04-4um-03,4,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_12 PM].csv",True,8.7689,accepted,1,1
S1,A8-04-4um-03,5,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_18 PM].csv",True,8.7307,accepted,1,1
S1,A8-04-4um-03,6,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_25 PM].csv",True,8.7509,accepted,1,1
S1,A8-04-4um-03,7,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_31 PM].csv",True,8.7631,accepted,1,1
S1,A8-04-4um-03,8,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_37 PM].csv",True,8.8422,accepted,1,1
S1,A8-04-4um-03,9,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_44 PM].csv",True,8.7585,accepted,1,1
S1,A8-04-4um-03,10,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_50 PM].csv",True,8.9449,accepted,1,1
S1,A8-04-4um-03,11,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_21_56 PM].csv",True,8.8585,accepted,1,1
S1,A8-04-4um-03,12,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_02 PM].csv",True,8.9249,accepted,1,1
S1,A8-04-4um-03,13,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_08 PM].csv",True,8.797,accepted,1,1
S1,A8-04-4um-03,14,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_14 PM].csv",True,8.8166,accepted,1,1
S1,A8-04-4um-03,15,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_20 PM].csv",True,8.954,accepted,1,1
S1,A8-04-4um-03,16,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_26 PM].csv",True,8.9287,accepted,1,1
S1,A8-04-4um-03,17,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_33 PM].csv",True,8.865,accepted,1,1
S1,A8-04-4um-03,18,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_39 PM].csv",True,8.7887,accepted,1,1
S1,A8-04-4um-03,19,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_45 PM].csv",True,8.8881,accepted,1,1
S1,A8-04-4um-03,20,"[A8-04-4um-03,SET-RESET,3,8_30_2024 2_22_51 PM].csv",True,8.8079,accepted,1,1
S1,A8-04-4um-04,1,"[A8-04-4um-04,SET-RESET,4,8_30_2024 2_28_18 PM].csv",True,8.3805,accepted,1,1
S1,A8-04-4um-04,2,"[A8-04-4um-04,SET-RESET,4,8_30_2024 2_28_26 PM].csv",True,8.3805,accepted,1,1
S1,A8-04-4um-05,1,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_25 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,2,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_32 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,3,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_38 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,4,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_44 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,5,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_51 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,6,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_29_57 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,7,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_03 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,8,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_08 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,9,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_14 PM].csv",True,8.8723,accepted,1,1
S1,A8-04-4um-05,10,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_21 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,11,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_28 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,12,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_34 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,13,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_41 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,14,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_48 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,15,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_30_54 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,16,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_00 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,17,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_07 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,18,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_13 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,19,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_20 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-05,20,"[A8-04-4um-05,SET-RESET,5,8_30_2024 2_31_26 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,1,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_23 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,2,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_29 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,3,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_35 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,4,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_41 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,5,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_48 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,6,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_32_54 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,7,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_00 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,8,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_06 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,9,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_12 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,10,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_19 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,11,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_25 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,12,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_32 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,13,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_38 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,14,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_44 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,15,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_50 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,16,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_33_56 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,17,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_34_03 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,18,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_34_09 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,19,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_34_15 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-06,20,"[A8-04-4um-06,SET-RESET,6,8_30_2024 2_34_22 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,1,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_35_44 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,2,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_35_50 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,3,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_35_56 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,4,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_02 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,5,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_09 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,6,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_16 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,7,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_22 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,8,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_28 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,9,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_34 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,10,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_40 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,11,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_46 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,12,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_53 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,13,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_36_59 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,14,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_05 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,15,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_11 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,16,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_17 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,17,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_24 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,18,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_30 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,19,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_36 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-07,20,"[A8-04-4um-07,SET-RESET,7,8_30_2024 2_37_42 PM].csv",True,9.0,accepted,1,1
S1,A8-04-4um-08,1,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_09 PM].csv",True,8.8034,accepted,1,1
S1,A8-04-4um-08,2,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_14 PM].csv",True,8.9188,accepted,1,1
S1,A8-04-4um-08,3,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_20 PM].csv",True,8.8957,accepted,1,1
S1,A8-04-4um-08,4,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_27 PM].csv",True,8.9585,accepted,1,1
S1,A8-04-4um-08,5,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_34 PM].csv",True,8.847,accepted,1,1
S1,A8-04-4um-08,6,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_40 PM].csv",True,8.939,accepted,1,1
S1,A8-04-4um-08,7,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_47 PM].csv",True,8.9406,accepted,1,1
S1,A8-04-4um-08,8,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_39_54 PM].csv",True,8.9201,accepted,1,1
S1,A8-04-4um-08,9,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_00 PM].csv",True,8.9158,accepted,1,1
S1,A8-04-4um-08,10,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_06 PM].csv",True,8.855,accepted,1,1
S1,A8-04-4um-08,11,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_13 PM].csv",True,8.8727,accepted,1,1
S1,A8-04-4um-08,12,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_19 PM].csv",True,8.9537,accepted,1,1
S1,A8-04-4um-08,13,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_26 PM].csv",True,8.9972,accepted,1,1
S1,A8-04-4um-08,14,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_33 PM].csv",True,8.9291,accepted,1,1
S1,A8-04-4um-08,15,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_39 PM].csv",True,8.9481,accepted,1,1
S1,A8-04-4um-08,16,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_45 PM].csv",True,8.969,accepted,1,1
S1,A8-04-4um-08,17,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_51 PM].csv",True,8.9069,accepted,1,1
S1,A8-04-4um-08,18,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_40_57 PM].csv",True,8.9759,accepted,1,1
S1,A8-04-4um-08,19,"[A8-04-4um-08,SET-RESET,8,8_30_2024 2_41_04 PM].csv",True,8.9304,accepted,1,1
