condition,I0,I0_relsig,I0_identif,g0,g0_relsig,g0_identif,Rs,Rs_relsig,Rs_identif,V0_set,V0_set_relsig,V0_set_identif,V0_res,V0_res_relsig,V0_res_identif,gamma0_set,gamma0_set_relsig,gamma0_set_identif,Ea_set,Ea_set_relsig,Ea_set_identif,Ea_res,Ea_res_relsig,Ea_res_identif,F_min_set,F_min_set_relsig,F_min_set_identif,F_min_res,F_min_res_relsig,F_min_res_identif,Vel0_set,Vel0_set_relsig,Vel0_set_identif,Vel0_res,Vel0_res_relsig,Vel0_res_identif,gap_max_set,gap_max_set_relsig,gap_max_set_identif,gap_max_res,gap_max_res_relsig,gap_max_res_identif,gap_ini_set,gap_ini_set_relsig,gap_ini_set_identif,gap_ini_res,gap_ini_res_relsig,gap_ini_res_identif,n_identifiable,fisher_cond_number,fisher_ok
S1,0.0019163,1.915e+06,0,4.08993e-10,1.247e+13,0,132.776,0.09744,1,1.12488,2.709,0,1.02027,0.5771,0,12.9043,inf,0,0.341959,inf,0,0.236016,inf,0,9.76158e+08,inf,0,1.82969e+09,inf,0,14.655,inf,0,11.9642,inf,0,1.73767e-09,inf,0,1.05506e-09,4.557e+12,0,1.32185e-09,3.658e+12,0,1.03645e-10,1.315e+14,0,1,1.572e+66,1
S2,0.00412798,3.43e+06,0,4.09017e-10,2.697e+13,0,35.4172,9.494,0,0.852437,26.88,0,0.857885,9.591,0,7.20958,inf,0,0.125833,inf,0,0.632791,inf,0,7.8603e+08,inf,0,7.42045e+08,inf,0,0.749788,inf,0,0.122609,inf,0,1.48836e-09,inf,0,1.03745e-09,1.24e+13,0,5.67281e-10,2.783e+13,0,1.52275e-10,2.669e+14,0,0,1.033e+65,1
S3,0.00629234,8.944e+05,0,3.79885e-10,1.215e+13,0,1081.65,0.02743,1,0.69847,4.062,0,1.6456,1.044,0,18.0185,39.71,0,0.146132,3.417e+04,0,0.328535,inf,0,9.66765e+08,1.618e-06,1,5.75096e+08,5.646e-05,1,0.16438,5056,0,3.66432,inf,0,2.18255e-09,inf,0,1.85181e-09,2.449e+12,0,1.9846e-09,2.283e+12,0,1.54389e-10,8.924e+13,0,3,1.672e+27,1
S4,0.00784276,1799,0,3.63909e-10,2.436e+10,0,1810.69,0.001687,1,0.741526,1.526,0,1.91907,0.3308,1,10.4437,369.1,0,0.71199,849.9,0,0.354178,1979,0,7.77342e+08,1.189e-06,1,6.5395e+08,6.367e-06,1,12.0244,1140,0,0.130873,391.6,0,1.86904e-09,inf,0,1.66454e-09,5.072e+09,0,1.76023e-09,4.814e+09,0,1.80442e-10,8.014e+06,0,4,5.929e+25,1
S5,0.00169053,2.591e+06,0,3.3658e-10,2.177e+13,0,982.659,0.003877,1,1.14777,1.076,0,0.826766,3.434,0,5.57427,inf,0,0.387473,inf,0,0.449879,inf,0,1.45177e+09,inf,0,1.71087e+09,inf,0,1.66304,inf,0,1.92277,inf,0,1.70259e-09,inf,0,1.69118e-09,inf,0,7.70171e-10,1.013e+13,0,8.91469e-11,inf,0,1,3.362e+33,1
S6,0.000692641,3.904e+06,0,3.78661e-10,1.048e+13,0,466.964,0.004243,1,0.949898,0.1785,1,0.821873,0.2333,1,8.78171,5.682,0,0.401208,3918,0,0.13208,inf,0,1.28015e+09,1.976e-06,1,2.36614e+09,inf,0,12.1705,131.2,0,5.216,inf,0,1.51182e-09,inf,0,1.00271e-09,3.901e+12,0,1.10879e-09,3.523e+12,0,7.66321e-11,inf,0,4,7.173e+27,1
S7,0.00161842,3.196e+06,0,3.55097e-10,1.352e+13,0,368.475,0.007101,1,1.13477,0.3127,1,0.724775,0.3881,1,7.60557,inf,0,0.106428,inf,0,0.870453,inf,0,1.16147e+09,inf,0,1.21739e+09,inf,0,0.211097,inf,0,6.47523,inf,0,1.7417e-09,inf,0,1.17123e-09,4.297e+12,0,9.09396e-10,5.703e+12,0,7.28724e-11,inf,0,3,4.165e+50,1
S8,0.00122804,3.457e+06,0,4.20701e-10,1.516e+09,0,17.2027,2.98,0,0.656084,0.5027,0,0.56861,0.7865,0,6.10146,inf,0,0.815804,inf,0,0.394202,inf,0,1.39545e+09,inf,0,2.01609e+09,inf,0,0.867413,inf,0,13.1818,inf,0,1.79353e-09,inf,0,1.06533e-09,1.574e+12,0,1.18695e-09,1.268e+12,0,2.08173e-10,4.122e+13,0,0,5.62e+64,1
S9,0.00658027,7.605e+05,0,2.18981e-10,2.487e+13,0,14.7273,16.04,0,1.17309,0.4511,1,0.890449,0.7275,0,6.91116,inf,0,0.121659,inf,0,0.895927,0.406,1,1.36818e+09,inf,0,1.34339e+09,7.102e-10,1,12.0196,inf,0,15.8362,663.1,0,1.63235e-09,inf,0,1.03187e-09,5.844e+12,0,9.68218e-10,6.273e+12,0,1.27031e-10,9.629e+13,0,3,1.763e+28,1
S10,0.00656184,1.008e+06,0,2.36239e-10,2.235e+13,0,167.5,0.971,0,1.4946,1.476,0,1.84048,0.7929,0,6.82833,inf,0,0.159577,inf,0,0.567664,230.4,0,7.39198e+08,inf,0,1.19762e+09,3.036e-08,1,0.500267,inf,0,0.796408,7.515,0,1.88119e-09,inf,0,1.13003e-09,4.502e+12,0,1.15787e-09,4.394e+12,0,1.00139e-10,1.502e+14,0,1,6.095e+27,1
