condition,parameter,frac_at_bound
S1,I0,0.0
S1,g0,0.03
S1,Rs,1.0
S1,V0_set,0.0
S1,V0_res,0.015
S1,gamma0_set,0.045
S1,Ea_set,0.05
S1,Ea_res,0.015
S1,F_min_set,0.05
S1,F_min_res,0.07
S1,Vel0_set,0.245
S1,Vel0_res,0.195
S1,gap_max_set,0.1
S1,gap_max_res,0.085
S1,gap_ini_set,0.025
S1,gap_ini_res,0.03
S2,I0,0.0
S2,g0,0.085
S2,Rs,1.0
S2,V0_set,0.0
S2,V0_res,0.0
S2,gamma0_set,0.03
S2,Ea_set,0.02
S2,Ea_res,0.05
S2,F_min_set,0.045
S2,F_min_res,0.12
S2,Vel0_set,0.23
S2,Vel0_res,0.245
S2,gap_max_set,0.05
S2,gap_max_res,0.1
S2,gap_ini_set,0.02
S2,gap_ini_res,0.04
S3,I0,0.01
S3,g0,0.04
S3,Rs,1.0
S3,V0_set,0.015
S3,V0_res,0.02
S3,gamma0_set,0.065
S3,Ea_set,0.03
S3,Ea_res,0.015
S3,F_min_set,0.055
S3,F_min_res,0.065
S3,Vel0_set,0.185
S3,Vel0_res,0.275
S3,gap_max_set,0.075
S3,gap_max_res,0.055
S3,gap_ini_set,0.0
S3,gap_ini_res,0.065
S4,I0,0.065
S4,g0,0.015
S4,Rs,1.0
S4,V0_set,0.065
S4,V0_res,0.05
S4,gamma0_set,0.015
S4,Ea_set,0.03
S4,Ea_res,0.045
S4,F_min_set,0.05
S4,F_min_res,0.075
S4,Vel0_set,0.225
S4,Vel0_res,0.195
S4,gap_max_set,0.07
S4,gap_max_res,0.055
S4,gap_ini_set,0.025
S4,gap_ini_res,0.02
S5,I0,0.0
S5,g0,0.04
S5,Rs,1.0
S5,V0_set,0.0
S5,V0_res,0.0
S5,gamma0_set,0.015
S5,Ea_set,0.075
S5,Ea_res,0.045
S5,F_min_set,0.045
S5,F_min_res,0.03
S5,Vel0_set,0.205
S5,Vel0_res,0.245
S5,gap_max_set,0.06
S5,gap_max_res,0.135
S5,gap_ini_set,0.0
S5,gap_ini_res,0.045
S6,I0,0.01
S6,g0,0.055
S6,Rs,0.975
S6,V0_set,0.005
S6,V0_res,0.0
S6,gamma0_set,0.04
S6,Ea_set,0.14
S6,Ea_res,0.02
S6,F_min_set,0.025
S6,F_min_res,0.065
S6,Vel0_set,0.195
S6,Vel0_res,0.245
S6,gap_max_set,0.085
S6,gap_max_res,0.1
S6,gap_ini_set,0.005
S6,gap_ini_res,0.015
S7,I0,0.005
S7,g0,0.04
S7,Rs,1.0
S7,V0_set,0.0
S7,V0_res,0.0
S7,gamma0_set,0.055
S7,Ea_set,0.07
S7,Ea_res,0.035
S7,F_min_set,0.075
S7,F_min_res,0.04
S7,Vel0_set,0.18
S7,Vel0_res,0.22
S7,gap_max_set,0.075
S7,gap_max_res,0.1
S7,gap_ini_set,0.005
S7,gap_ini_res,0.005
S8,I0,0.0
S8,g0,0.025
S8,Rs,1.0
S8,V0_set,0.0
S8,V0_res,0.0
S8,gamma0_set,0.035
S8,Ea_set,0.03
S8,Ea_res,0.05
S8,F_min_set,0.045
S8,F_min_res,0.07
S8,Vel0_set,0.185
S8,Vel0_res,0.27
S8,gap_max_set,0.06
S8,gap_max_res,0.09
S8,gap_ini_set,0.005
S8,gap_ini_res,0.025
S9,I0,0.01
S9,g0,0.015
S9,Rs,1.0
S9,V0_set,0.03
S9,V0_res,0.03
S9,gamma0_set,0.02
S9,Ea_set,0.045
S9,Ea_res,0.03
S9,F_min_set,0.065
S9,F_min_res,0.07
S9,Vel0_set,0.24
S9,Vel0_res,0.175
S9,gap_max_set,0.1
S9,gap_max_res,0.08
S9,gap_ini_set,0.005
S9,gap_ini_res,0.025
S10,I0,0.045
S10,g0,0.02
S10,Rs,1.0
S10,V0_set,0.01
S10,V0_res,0.05
S10,gamma0_set,0.055
S10,Ea_set,0.035
S10,Ea_res,0.015
S10,F_min_set,0.04
S10,F_min_res,0.105
S10,Vel0_set,0.195
S10,Vel0_res,0.265
S10,gap_max_set,0.07
S10,gap_max_res,0.055
S10,gap_ini_set,0.01
S10,gap_ini_res,0.015
S11,I0,0.005
S11,g0,0.075
S11,Rs,1.0
S11,V0_set,0.0
S11,V0_res,0.0
S11,gamma0_set,0.05
S11,Ea_set,0.055
S11,Ea_res,0.05
S11,F_min_set,0.045
S11,F_min_res,0.02
S11,Vel0_set,0.21
S11,Vel0_res,0.275
S11,gap_max_set,0.06
S11,gap_max_res,0.1
S11,gap_ini_set,0.005
S11,gap_ini_res,0.025
S12,I0,0.02
S12,g0,0.03
S12,Rs,1.0
S12,V0_set,0.05
S12,V0_res,0.03
S12,gamma0_set,0.03
S12,Ea_set,0.075
S12,Ea_res,0.015
S12,F_min_set,0.06
S12,F_min_res,0.025
S12,Vel0_set,0.24
S12,Vel0_res,0.245
S12,gap_max_set,0.07
S12,gap_max_res,0.105
S12,gap_ini_set,0.0
S12,gap_ini_res,0.025
