condition,branch,n_cycles,rmse_insample,rmse_heldout_median,rmse_heldout_p05,rmse_heldout_p95,frac_within_minmax,frac_within_iqr,gap,gap_rel
S1,SET,40,0.5004,0.5374,0.4761,0.7338,0.928,0.794,0.03700000000000003,0.07394084732214236
S1,RESET,40,0.689,0.9988,0.6777,1.3963,0.619,0.178,0.3098000000000001,0.4496371552975328
S2,SET,101,0.7716,0.758,0.7334,0.7726,0.197,0.114,-0.013599999999999945,-0.01762571280456188
S2,RESET,101,1.0165,1.0035,0.8902,1.0318,0.297,0.158,-0.0129999999999999,-0.012788981800295033
S3,SET,40,0.5657,0.5811,0.52,0.6552,0.918,0.015,0.01539999999999997,0.027222909669436045
S3,RESET,40,0.6586,0.7023,0.6585,0.8477,0.772,0.282,0.04370000000000007,0.06635286972365635
S4,SET,20,0.5137,0.5102,0.4871,0.5418,0.821,0.761,-0.0035000000000000586,-0.006813315164493008
S4,RESET,20,0.7299,0.7343,0.6875,0.7794,0.51,0.158,0.0043999999999999595,0.006028223044252582
S5,SET,20,0.5079,0.5176,0.4989,0.5727,0.893,0.836,0.009699999999999931,0.019098247686552335
S5,RESET,20,0.8048,0.8358,0.7951,1.0081,0.54,0.302,0.031000000000000028,0.03851888667992051
S6,SET,20,0.4684,0.4913,0.4467,0.5273,0.995,0.903,0.02290000000000003,0.04888983774551672
S6,RESET,20,0.6499,0.6801,0.6395,0.7355,0.866,0.307,0.030200000000000005,0.04646868749038314
S7,SET,20,0.4767,0.5148,0.4864,0.6575,0.883,0.45,0.03810000000000002,0.07992448080553811
S7,RESET,20,0.7256,0.7382,0.7247,0.8053,0.599,0.094,0.012599999999999945,0.01736493936052914
S8,SET,20,0.4948,0.5062,0.4879,0.5211,0.256,0.075,0.011399999999999966,0.023039611964430003
S8,RESET,20,1.0013,0.9882,0.9297,1.012,0.277,0.099,-0.013100000000000112,-0.013082992110256778
S9,SET,20,0.5105,0.5158,0.5023,0.5326,0.726,0.022,0.005300000000000082,0.010381978452497713
S9,RESET,20,0.6997,0.7098,0.6847,0.7422,0.832,0.554,0.010099999999999998,0.01443475775332285
S10,SET,20,0.5081,0.5088,0.4877,0.5659,0.995,0.883,0.0007000000000000339,0.0013776815587483446
S10,RESET,20,0.7182,0.7112,0.6774,0.8018,0.842,0.188,-0.006999999999999895,-0.00974658869395697
S11,SET,100,0.4935,0.5115,0.4889,0.6349,0.973,0.958,0.01799999999999996,0.036474164133738524
S11,RESET,100,0.7534,0.7617,0.7225,1.1475,0.584,0.153,0.008300000000000085,0.011016724183700671
S12,SET,40,0.5483,0.5461,0.5149,0.6287,0.667,0.065,-0.0021999999999999797,-0.004012401969724566
S12,RESET,40,0.6807,0.741,0.6806,0.8161,0.856,0.505,0.06030000000000002,0.08858527985896875
