parameter,stiff_participation,sloppy_participation
I0,0.0512954758516111,4.4028940121885455e-16
g0,0.28643049245548297,6.243768192517752e-15
Rs,0.018596539169563227,1.3534942446209715e-18
V0_set,0.016232803292943427,1.0525026953584605e-18
V0_res,0.061162239067219744,5.553101324888537e-23
gamma0_set,0.04869391758481656,0.2558084742776253
Ea_set,0.025441675895955928,0.17133814890178253
Ea_res,0.10644429568017323,2.7587929248849366e-05
F_min_set,0.04674444295616358,0.012684454521462336
F_min_res,1.0091271196926905e-08,0.08339362295878631
Vel0_set,0.00022279214695328613,0.13897358245367128
Vel0_res,0.012677250741466932,0.0877741583103751
gap_max_set,0.0,0.1666716496762427
gap_max_res,0.1492270393415144,0.0833283209707938
gap_ini_set,0.09350168085819961,5.168548528336319e-15
gap_ini_res,0.08332934486666484,3.3900433989827323e-18
