condition,mode,eigenvalue,eigenvalue_norm
S1,1,11655.519694329125,1.0
S1,2,1857.632258084847,0.15937790049710604
S1,3,167.72888437456876,0.01439051100022383
S1,4,84.61381661571164,0.007259549023530855
S1,5,13.999600404560718,0.0012011133584521403
S1,6,0.008355567743908875,7.168764639447344e-07
S1,7,0.005047309828704655,4.330403071739798e-07
S1,8,1.4061417151864827e-08,1.2064170041861168e-12
S1,9,6.831674423734062e-35,5.861321161902325e-39
S1,10,0.0,0.0
S1,11,0.0,0.0
S1,12,0.0,0.0
S1,13,0.0,0.0
S1,14,0.0,0.0
S1,15,0.0,0.0
S1,16,0.0,0.0
S2,1,3035.0183315581744,1.0
S2,2,320.6096994199543,0.10563682468940928
S2,3,41.32947750898696,0.013617538015913222
S2,4,15.354260223991863,0.005059033767387166
S2,5,1.3264922945042468,0.00043706236654696823
S2,6,0.003250771802951497,1.0710880290737997e-06
S2,7,1.0899393803020875e-05,3.5912118518984827e-09
S2,8,3.3442232783710307e-09,1.1018791035288775e-12
S2,9,1.2186253498569722e-16,4.0152157803650946e-20
S2,10,1.7585725896590572e-22,5.794273370191502e-26
S2,11,1.886727461198627e-49,6.2165273981392505e-53
S2,12,0.0,0.0
S2,13,0.0,0.0
S2,14,0.0,0.0
S2,15,0.0,0.0
S2,16,0.0,0.0
S3,1,76664.07455721736,1.0
S3,2,34968.83775049065,0.45613069684147894
S3,3,5297.397805450355,0.06909882935450688
S3,4,534.329820271161,0.006969755043118273
S3,5,179.76459487393714,0.0023448348644679964
S3,6,15.92766619698173,0.00020775919215061154
S3,7,3.025455218458935,3.9463793646930684e-05
S3,8,0.48437826935811373,6.318191045228147e-06
S3,9,0.0003967219371699649,5.174808924014024e-09
S3,10,2.1794074469549453e-06,2.842801481061862e-11
S3,11,8.305011078819467e-09,1.0832989410993433e-13
S3,12,9.479255810761905e-10,1.2364664760528963e-14
S3,13,3.6589733802691666e-11,4.772735341034259e-16
S3,14,0.0,0.0
S3,15,0.0,0.0
S3,16,0.0,0.0
S4,1,543672.3779378339,1.0
S4,2,25275.10325673279,0.046489585055989116
S4,3,8283.802485542286,0.015236754379472072
S4,4,1182.7050551745078,0.0021754003020358413
S4,5,179.26484899332567,0.00032972955086164716
S4,6,59.46316742248957,0.00010937316265364667
S4,7,5.406490244764033,9.944390158777271e-06
S4,8,1.7672286534301302,3.2505397094722433e-06
S4,9,0.02711949521723093,4.988205455663577e-08
S4,10,0.004348717238616664,7.998782750581302e-09
S4,11,9.345673009876687e-05,1.7189898529193468e-10
S4,12,6.208625564915896e-06,1.1419792170544703e-11
S4,13,5.6109480681475326e-09,1.0320458231536485e-14
S4,14,3.6751347020595166e-16,6.759833405550998e-22
S4,15,2.0847641838444944e-18,3.834596474722643e-24
S4,16,0.0,0.0
S5,1,4143.935572666302,1.0
S5,2,302.0430353067825,0.07288796604345882
S5,3,53.8153279814189,0.012986526223136454
S5,4,5.447626874109903,0.0013146022129404819
S5,5,0.028450191666044945,6.8655004806793964e-06
S5,6,1.4041452324901425e-08,3.3884340329805944e-12
S5,7,0.0,0.0
S5,8,0.0,0.0
S5,9,0.0,0.0
S5,10,0.0,0.0
S5,11,0.0,0.0
S5,12,0.0,0.0
S5,13,0.0,0.0
S5,14,0.0,0.0
S5,15,0.0,0.0
S5,16,0.0,0.0
S6,1,10665.197633265749,1.0
S6,2,2890.145835401815,0.27098849311401224
S6,3,324.87187317681276,0.030460933247360274
S6,4,185.83923989112628,0.017424828519958815
S6,5,146.4276893483897,0.013729486727153375
