parameter,device_to_device_cv,cycle_to_cycle_cv,var_ratio_dev_over_cycle,icc_device_fraction
I0,0.22861704330195426,0.47814530409411854,0.22861115492831918,0.18607283029402175
g0,0.11916149409054741,0.26369482192763205,0.20420608360657405,0.16957735589159356
Rs,0.7175596800807644,2.884310520206933,0.061891645184263586,0.058284331988998656
V0_set,0.11620851448450253,0.5798967250546732,0.04015823223512268,0.038607810802813614
V0_res,0.11554362948592607,0.500410361819007,0.05331377359919441,0.050615281918340596
gamma0_set,0.02835879959250069,0.36542517763701643,0.006022526970427851,0.005986473273679372
Ea_set,0.1517010866628843,0.6188241208932154,0.060095633320786754,0.05668887922171237
Ea_res,0.06386922887828321,0.43799136706523223,0.021264356490548055,0.020821598595314197
F_min_set,0.055128942309608096,0.5834100023350918,0.008929180029501702,0.008850155398658018
F_min_res,0.16134906368884763,0.49730841997186626,0.10526434060703029,0.09523906339836974
Vel0_set,0.1025872356310618,2.902756888535338,0.0012490083040081954,0.0012474502283141941
Vel0_res,0.384067248231129,3.2474194038459685,0.013987425452404991,0.013794476244283111
gap_max_set,0.02189448608479833,0.27172110378137404,0.006492661650574624,0.006450778925627864
gap_max_res,0.0349428886054851,0.2689646772895117,0.016878238148047165,0.016598091605132634
gap_ini_set,0.030139750711076347,0.42502695809521107,0.00502859151396465,0.005003431301779816
gap_ini_res,0.050933788603222466,0.3820126859362551,0.01777691485824822,0.01746641587044064
