state,mechanism,n_cycles,total,fraction,condition
RESET_HRS_POST,ohmic,34,40,0.85,S1
RESET_HRS_POST,schottky,6,40,0.15,S1
RESET_LRS_PRE,ohmic,21,40,0.525,S1
RESET_LRS_PRE,unclassified,19,40,0.475,S1
SET_HRS_PRE,schottky,34,40,0.85,S1
SET_HRS_PRE,ohmic,6,40,0.15,S1
SET_LRS_POST,ohmic,39,40,0.975,S1
SET_LRS_POST,schottky,1,40,0.025,S1
RESET_HRS_POST,ohmic,62,101,0.6138613861386139,S2
RESET_HRS_POST,schottky,39,101,0.3861386138613861,S2
RESET_LRS_PRE,ohmic,101,101,1.0,S2
SET_HRS_PRE,ohmic,62,101,0.6138613861386139,S2
SET_HRS_PRE,schottky,39,101,0.3861386138613861,S2
SET_LRS_POST,ohmic,85,101,0.8415841584158416,S2
SET_LRS_POST,schottky,16,101,0.1584158415841584,S2
RESET_HRS_POST,ohmic,39,40,0.975,S3
RESET_HRS_POST,schottky,1,40,0.025,S3
RESET_LRS_PRE,unclassified,35,40,0.875,S3
RESET_LRS_PRE,ohmic,5,40,0.125,S3
SET_HRS_PRE,schottky,28,40,0.7,S3
SET_HRS_PRE,ohmic,12,40,0.3,S3
SET_LRS_POST,ohmic,40,40,1.0,S3
RESET_HRS_POST,ohmic,19,20,0.95,S4
RESET_HRS_POST,schottky,1,20,0.05,S4
RESET_LRS_PRE,unclassified,15,20,0.75,S4
RESET_LRS_PRE,ohmic,5,20,0.25,S4
SET_HRS_PRE,schottky,18,20,0.9,S4
SET_HRS_PRE,ohmic,2,20,0.1,S4
SET_LRS_POST,ohmic,20,20,1.0,S4
RESET_HRS_POST,schottky,20,20,1.0,S5
RESET_LRS_PRE,schottky,17,20,0.85,S5
RESET_LRS_PRE,ohmic,3,20,0.15,S5
SET_HRS_PRE,ohmic,16,20,0.8,S5
SET_HRS_PRE,schottky,4,20,0.2,S5
SET_LRS_POST,ohmic,20,20,1.0,S5
RESET_HRS_POST,ohmic,20,20,1.0,S6
RESET_LRS_PRE,ohmic,19,20,0.95,S6
RESET_LRS_PRE,schottky,1,20,0.05,S6
SET_HRS_PRE,schottky,19,20,0.95,S6
SET_HRS_PRE,ohmic,1,20,0.05,S6
SET_LRS_POST,ohmic,18,20,0.9,S6
SET_LRS_POST,schottky,2,20,0.1,S6
RESET_HRS_POST,schottky,20,20,1.0,S7
RESET_LRS_PRE,ohmic,20,20,1.0,S7
SET_HRS_PRE,ohmic,15,20,0.75,S7
SET_HRS_PRE,schottky,5,20,0.25,S7
SET_LRS_POST,ohmic,19,20,0.95,S7
SET_LRS_POST,schottky,1,20,0.05,S7
RESET_HRS_POST,schottky,20,20,1.0,S8
RESET_LRS_PRE,schottky,20,20,1.0,S8
SET_HRS_PRE,schottky,20,20,1.0,S8
SET_LRS_POST,ohmic,20,20,1.0,S8
RESET_HRS_POST,ohmic,20,20,1.0,S9
RESET_LRS_PRE,ohmic,13,20,0.65,S9
RESET_LRS_PRE,unclassified,7,20,0.35,S9
SET_HRS_PRE,schottky,12,20,0.6,S9
SET_HRS_PRE,ohmic,8,20,0.4,S9
SET_LRS_POST,ohmic,20,20,1.0,S9
RESET_HRS_POST,ohmic,19,20,0.95,S10
RESET_HRS_POST,schottky,1,20,0.05,S10
RESET_LRS_PRE,unclassified,18,20,0.9,S10
RESET_LRS_PRE,ohmic,2,20,0.1,S10
SET_HRS_PRE,schottky,14,20,0.7,S10
SET_HRS_PRE,ohmic,6,20,0.3,S10
SET_LRS_POST,ohmic,20,20,1.0,S10
RESET_HRS_POST,schottky,96,100,0.96,S11
RESET_HRS_POST,ohmic,4,100,0.04,S11
RESET_LRS_PRE,ohmic,82,100,0.82,S11
RESET_LRS_PRE,schottky,18,100,0.18,S11
SET_HRS_PRE,schottky,90,96,0.9375,S11
SET_HRS_PRE,ohmic,6,96,0.0625,S11
SET_LRS_POST,ohmic,96,96,1.0,S11
RESET_HRS_POST,ohmic,39,40,0.975,S12
RESET_HRS_POST,schottky,1,40,0.025,S12
RESET_LRS_PRE,ohmic,32,40,0.8,S12
RESET_LRS_PRE,unclassified,8,40,0.2,S12
SET_HRS_PRE,schottky,32,40,0.8,S12
SET_HRS_PRE,ohmic,8,40,0.2,S12
SET_LRS_POST,ohmic,40,40,1.0,S12
