condition,parameter,theta,theta_point,ci_lo,ci_hi,cv,frac_at_bound
S1,I0,0.0034839,0.00149359,0.000597206,0.00902651,0.594,0
S1,g0,3.6075e-10,3.11352e-10,1.61005e-10,4.95731e-10,0.2669,0.03
S1,Rs,203.248,1750.45,10.0838,2798.1,1.5,1
S1,V0_set,1.07269,1.32017,0.510006,1.70173,0.2953,0
S1,V0_res,1.05616,1.15206,0.398156,1.72875,0.2812,0.015
S1,gamma0_set,17.3796,21.4968,5.65182,23.88,0.3355,0.045
S1,Ea_set,0.361997,0.47887,0.103797,0.935137,0.6026,0.05
S1,Ea_res,0.682743,0.878562,0.134852,0.973068,0.455,0.015
S1,F_min_set,1.10405e+09,1.42319e+09,5.08364e+08,2.80542e+09,0.5076,0.05
S1,F_min_res,1.54164e+09,1.39672e+09,5.12017e+08,2.97683e+09,0.4695,0.07
S1,Vel0_set,1.41337,0.677473,0.114368,18.5393,1.255,0.245
S1,Vel0_res,1.14306,0.188201,0.1037,18.1882,1.32,0.195
S1,gap_max_set,1.72444e-09,1.71488e-09,1.01722e-09,2.49776e-09,0.2736,0.1
S1,gap_max_res,1.69235e-09,1.60743e-09,1.02739e-09,2.54016e-09,0.2672,0.085
S1,gap_ini_set,1.24216e-09,1.10016e-09,5.25104e-10,2.19953e-09,0.4024,0.025
S1,gap_ini_res,1.38053e-10,9.45876e-11,5.27535e-11,2.41662e-10,0.4022,0.03
S2,I0,0.00455066,0.00484155,0.000830527,0.00889319,0.4883,0
S2,g0,3.92632e-10,3.38827e-10,1.62115e-10,4.98729e-10,0.2729,0.085
S2,Rs,596.747,304.71,10.1217,2334.89,0.9964,1
S2,V0_set,0.626818,0.999704,0.425414,0.95812,0.228,0
S2,V0_res,0.611411,1.14465,0.407019,0.986771,0.2532,0
S2,gamma0_set,16.0639,15.3645,4.69071,23.6766,0.3952,0.03
S2,Ea_set,0.440545,0.914017,0.111247,0.936477,0.5258,0.02
S2,Ea_res,0.618165,0.900283,0.122303,0.983085,0.4478,0.05
S2,F_min_set,9.67084e+08,9.33132e+08,5.24343e+08,2.91852e+09,0.5777,0.045
S2,F_min_res,2.20299e+09,1.1451e+09,5.05522e+08,2.97951e+09,0.4469,0.12
S2,Vel0_set,1.57994,9.45975,0.116596,17.6205,1.231,0.23
S2,Vel0_res,1.69201,0.181387,0.112505,18.7151,1.258,0.245
S2,gap_max_set,1.79636e-09,1.5425e-09,1.04006e-09,2.55704e-09,0.2553,0.05
S2,gap_max_res,1.64509e-09,1.4903e-09,1.02883e-09,2.56262e-09,0.2797,0.1
S2,gap_ini_set,1.17696e-09,7.42802e-10,5.37464e-10,2.24898e-09,0.4251,0.02
S2,gap_ini_res,1.42231e-10,8.47694e-11,5.33232e-11,2.42562e-10,0.3966,0.04
S3,I0,0.00526744,0.000709155,0.00107647,0.00943867,0.4921,0.01
S3,g0,3.55006e-10,3.20929e-10,2.15097e-10,4.98475e-10,0.2464,0.04
S3,Rs,43.3229,38.9315,10.0323,1463.88,1.75,1
S3,V0_set,1.51659,1.02156,0.120934,1.9599,0.3111,0.015
S3,V0_res,1.46869,0.383202,0.359029,1.96905,0.2788,0.02
S3,gamma0_set,17.4077,12.7639,5.07335,23.9361,0.3614,0.065
S3,Ea_set,0.3915,0.779892,0.108168,0.938826,0.5791,0.03
S3,Ea_res,0.612839,0.627636,0.126197,0.973331,0.4261,0.015
S3,F_min_set,1.13556e+09,1.18202e+09,5.14621e+08,2.8291e+09,0.5088,0.055
S3,F_min_res,1.73952e+09,1.24497e+09,5.33982e+08,2.97915e+09,0.4573,0.065
S3,Vel0_set,1.91895,6.98967,0.116119,17.7912,1.209,0.185
S3,Vel0_res,1.33495,0.347635,0.109382,18.0157,1.327,0.275
S3,gap_max_set,1.71473e-09,1.39484e-09,1.04215e-09,2.55126e-09,0.2648,0.075
S3,gap_max_res,1.74207e-09,1.84385e-09,1.06856e-09,2.57607e-09,0.2553,0.055
S3,gap_ini_set,1.23678e-09,1.05308e-09,5.63033e-10,2.21028e-09,0.3785,0
