branch,state,v_lo,v_hi,mechanism,slope,intercept,r2,bic,delta_bic,mechanism_second,ambiguous,eps_r_dyn,n_points,stanford_valid,condition
SET,SET_HRS_PRE,0.05,0.35,ohmic,1.0454377433400166,-4.190093881672504,0.9995711870624532,-130.57480130357283,50.36210487499056,schottky,0,,13,1,S1
SET,SET_HRS_PRE,0.125,0.725,schottky,2.5187715572221907,-6.100015420206746,0.9423715575749062,-113.43985924573332,15.988327244574762,ohmic,0,9.150746705490434,25,0,S1
SET,SET_HRS_PRE,0.5,0.95,fowler_nordheim,0.4699695363530006,-2.9105488464493376,0.9740841874079472,-108.8781213189156,6.627842705298448,ohmic,0,,19,0,S1
SET,SET_LRS_POST,0.05,0.5750000000000001,ohmic,1.0168194635084815,-3.102158054166591,0.9999346444206008,-259.63849594809284,130.7211671067278,schottky,0,,22,1,S1
RESET,RESET_LRS_PRE,0.06,1.1,ohmic,0.8113618349354942,-3.235478355776793,0.8992598452046694,-201.07257632750824,35.06751294225299,schottky,0,,43,1,S1
RESET,RESET_LRS_PRE,0.48,1.52,unclassified,,,,,,,0,,43,0,S1
RESET,RESET_LRS_PRE,1.1,1.94,ohmic,0.5344854809347235,-3.482309533035623,0.474602019340738,-267.9093895343729,inf,,0,,43,1,S1
RESET,RESET_HRS_POST,0.06,1.5,ohmic,1.2955628530271648,-3.74556303069524,0.9989288489503376,-613.377962103763,246.42230189020927,schottky,0,,73,1,S1
RESET,RESET_HRS_POST,1.02,1.82,schottky,1.167965551524747,-4.918950698979964,0.9970413264714636,-407.2737308497781,35.10190434198671,ohmic,0,42.55729616416215,41,0,S1
RESET,RESET_HRS_POST,1.34,1.98,ohmic,1.763776155203344,-3.800987917706842,0.9944763074759954,-324.2658652240922,7.888303424596188,schottky,0,,33,1,S1
SET,SET_HRS_PRE,0.05,0.8250000000000001,ohmic,1.112094765735653,-2.916798288385852,0.9983371146316744,-265.1258230838669,81.4199622813911,schottky,0,,32,1,S2
SET,SET_HRS_PRE,0.55,1.125,schottky,1.3274571964061028,-4.1904959508586055,0.9998640008701536,-306.3955188317037,65.59762541558649,ohmic,0,32.9452678371736,24,0,S2
SET,SET_LRS_POST,0.05,0.95,ohmic,1.0402188406544275,-2.7281233860920557,0.9996515980519204,-368.1336977907055,165.46278073153334,schottky,0,,37,1,S2
RESET,RESET_LRS_PRE,0.05,1.625,ohmic,1.0240612426508062,-2.739832970998729,0.9974950893444992,-505.5967413500467,192.06897235141275,schottky,0,,64,1,S2
RESET,RESET_LRS_PRE,1.05,1.825,schottky,1.1096571771958887,-3.902748360022567,0.9935528303314944,-296.9962344142841,17.619685234421866,ohmic,0,47.147258226625766,32,0,S2
RESET,RESET_LRS_PRE,1.25,2.4250000000000003,ohmic,1.6109584679325637,-2.8259423930957785,0.9995928293754756,-558.9491196189323,94.44030303710996,schottky,0,,48,1,S2
RESET,RESET_HRS_POST,0.05,1.025,ohmic,1.1839870915103674,-2.906409184958996,0.9959534820350804,-288.7080421612431,59.99874340679583,schottky,0,,40,1,S2
RESET,RESET_HRS_POST,0.45,1.625,schottky,1.382688573945449,-4.253045624538552,0.999569460649789,-500.2729663407732,108.71162131389838,ohmic,0,30.365843336498923,48,0,S2
RESET,RESET_HRS_POST,1.05,2.225,ohmic,1.7623836373530306,-2.8737924557977634,0.9998308452225628,-580.7601927252315,138.43488013511012,schottky,0,,48,1,S2
SET,SET_HRS_PRE,0.05,0.3,ohmic,0.8980545490999307,-5.414585724265302,0.9816085938761204,-73.05431203199008,10.48791546264684,schottky,0,,11,1,S3
SET,SET_HRS_PRE,0.1,0.45,schottky,1.889476934581062,-6.889546898869411,0.9799606146247104,-100.691535238516,11.301338800218744,ohmic,0,16.261136883479928,15,0,S3
SET,SET_HRS_PRE,0.25,0.75,ohmic,0.9937152239356528,-5.324571206113991,0.8364279811485436,-110.66204666613002,3.947030242578947,schottky,1,,21,1,S3
SET,SET_HRS_PRE,0.55,0.8,schottky,1.855195893785537,-7.007052340233382,0.5194087884627097,-49.14013110262887,0.4858598036658179,ohmic,1,16.867648656296097,11,0,S3
SET,SET_LRS_POST,0.05,0.475,ohmic,0.9944335004044492,-3.041543769745848,0.9999976189577232,-273.9743456188441,166.05433316225475,schottky,0,,18,1,S3
RESET,RESET_LRS_PRE,0.06,0.94,ohmic,0.7249829168161918,-3.234703130855592,0.8761890827546557,-178.5042806060704,27.4870355856593,schottky,0,,38,1,S3
RESET,RESET_LRS_PRE,0.34,1.78,unclassified,,,,,,,0,,66,0,S3
RESET,RESET_LRS_PRE,1.32,1.92,ohmic,1.118162018302466,-4.300369370112594,0.1785194514156148,-126.67641782571977,inf,,0,,31,1,S3
RESET,RESET_HRS_POST,0.06,0.86,ohmic,1.7300881301980122,-4.612234127628636,0.9910842337233418,-240.0781755709737,44.52017535940817,schottky,0,,41,1,S3
RESET,RESET_HRS_POST,0.38,1.02,schottky,1.9170288509456248,-6.484969222407282,0.9964334745794295,-278.0574567163056,27.96295315936848,ohmic,0,15.797079258134143,33,0,S3
RESET,RESET_HRS_POST,0.54,1.34,ohmic,1.878584588408784,-4.587032555300875,0.9931624775216634,-322.5727314239668,15.135071540178672,schottky,0,,41,1,S3
RESET,RESET_HRS_POST,0.86,1.5,schottky,1.6266090674258176,-6.212402525076876,0.9832313265619032,-255.47876248154657,13.556288516680098,ohmic,0,21.941570886001085,33,0,S3
RESET,RESET_HRS_POST,1.02,1.82,fowler_nordheim,0.0688574563131736,-4.537128631129683,0.9870877178669188,-322.7628061344452,0.8403393388164773,ohmic,1,,41,0,S3
RESET,RESET_HRS_POST,1.34,1.98,schottky,1.307381536139561,-5.822137450531024,0.985882076764946,-287.14782758064365,8.111340169086702,ohmic,0,33.964826513578146,33,0,S3
SET,SET_HRS_PRE,0.05,0.675,ohmic,1.1381507190804987,-5.101841117279037,0.9886872681659812,-165.47384454756485,43.02253752005838,schottky,0,,26,1,S4
SET,SET_HRS_PRE,0.425,0.8250000000000001,schottky,1.3071334432609567,-6.36974250404348,0.8797028631205359,-105.68649975446512,3.283176121570847,ohmic,1,33.977720730751564,17,0,S4
SET,SET_HRS_PRE,0.5750000000000001,0.975,ohmic,1.8057857945069664,-5.00586778255648,0.9867345663961564,-137.97508231165017,8.052914516897829,schottky,0,,17,1,S4
SET,SET_HRS_PRE,0.725,1.05,schottky,3.781165500186529,-8.583259527938676,0.4018754388805491,-33.81579859636066,0.0738067875382881,poole_frenkel,1,4.0605299834361945,14,0,S4
SET,SET_LRS_POST,0.05,0.425,ohmic,0.9957600548665456,-2.983682490465577,0.9999987300868174,-254.1860568923681,156.19059538877443,schottky,0,,16,1,S4
